# Xlam,PX,Ylam,PY
1.0,0.0003384972930953,1.0,0.0045569210400884
1.0071428571428571,0.0041014007712023,1.0071428571428571,0.0201834368553769
1.0142857142857142,0.0055359882557444,1.0142857142857142,0.0309757205765335
1.0214285714285714,0.0071044003964315,1.0214285714285714,0.036338035370874
1.0285714285714285,0.0081871977795877,1.0285714285714285,0.0395510142467405
1.0357142857142858,0.0088583243289748,1.0357142857142858,0.042480148982162
1.042857142857143,0.0093694303735204,1.042857142857143,0.0436550825737176
1.05,0.0102665269716993,1.05,0.0467352357383324
1.0571428571428572,0.0105593027295693,1.0571428571428572,0.0518884414231711
1.0642857142857145,0.0106055123614031,1.0642857142857145,0.0556378744429701
1.0714285714285714,0.0116731393848237,1.0714285714285714,0.0608616189733325
1.0785714285714283,0.012346497046203,1.0785714285714283,0.0670253821031297
1.0857142857142856,0.0126803190720637,1.0857142857142856,0.0740429471101433
1.092857142857143,0.0136516660140724,1.092857142857143,0.0834084653661662
1.1,0.015010065415422,1.1,0.0936642900404663
1.1071428571428572,0.0161585998834917,1.1071428571428572,0.1081024755625707
1.1142857142857143,0.0177515363402066,1.1142857142857143,0.1258713452934297
1.1214285714285714,0.0198228429155127,1.1214285714285714,0.1456516120797255
1.1285714285714286,0.0218709564029989,1.1285714285714286,0.1688072751105662
1.1357142857142857,0.0247773434457808,1.1357142857142857,0.1959941248622859
1.1428571428571428,0.0282372548268948,1.1428571428571428,0.2242930799852767
1.15,0.0320124154971995,1.15,0.2545125867225058
1.1571428571428573,0.0364775075032297,1.1571428571428573,0.2884986057553998
1.164285714285714,0.0419258840396432,1.164285714285714,0.3248390105539711
1.1714285714285717,0.0484653953475598,1.1714285714285717,0.3630865083208931
1.1785714285714286,0.0552505850605006,1.1785714285714286,0.4031878152742698
1.1857142857142855,0.0645988156637573,1.1857142857142855,0.4481193731475129
1.1928571428571428,0.0750243042530277,1.1928571428571428,0.4961147007659586
1.2,0.086523108062082,1.2,0.5467266024340915
1.207142857142857,0.0998449587684462,1.207142857142857,0.5974472045575281
1.2142857142857142,0.1143075614518014,1.2142857142857142,0.6486755754909042
1.2214285714285715,0.1316885408002771,1.2214285714285715,0.7057584925429086
1.2285714285714286,0.1515982235720247,1.2285714285714286,0.7666185662581054
1.2357142857142858,0.1734730287746582,1.2357142857142858,0.8286217057548726
1.2428571428571429,0.1974088766974299,1.2428571428571429,0.8940078891009137
1.25,0.2250503264745249,1.25,0.9688591518688296
1.2571428571428571,0.2550164687572877,1.2571428571428571,1.0514012698515858
1.2642857142857142,0.2854523766650242,1.2642857142857142,1.138722384065336
1.2714285714285714,0.3185734357421971,1.2714285714285714,1.237751254529352
1.2785714285714285,0.3555742460939511,1.2785714285714285,1.3482877644554483
1.2857142857142858,0.3609761275183496,1.2857142857142858,1.3694910298262648
1.2785714285714285,0.2830934620912035,1.2785714285714285,1.1297746363076495
1.2714285714285714,0.2224582528106401,1.2714285714285714,0.930140259965335
1.2642857142857142,0.175818625029525,1.2642857142857142,0.7759467890477225
1.2571428571428571,0.137955017556056,1.2571428571428571,0.6568967170909032
1.25,0.1091207255727388,1.25,0.561866405464982
1.2428571428571429,0.0876134001137173,1.2428571428571429,0.4846399470087137
1.2357142857142858,0.0695306666892025,1.2357142857142858,0.4172655019508758
1.2285714285714286,0.0546220254153747,1.2285714285714286,0.3553662178638593
1.2214285714285715,0.0439587074870511,1.2214285714285715,0.3045532518277951
1.2142857142857142,0.0363017068948489,1.2142857142857142,0.262532493189319
1.207142857142857,0.0290816253552356,1.207142857142857,0.2224801556839098
1.2,0.023153290211288,1.2,0.1870170205483567
1.1928571428571428,0.0191733842668003,1.1928571428571428,0.156395709864082
1.1857142857142855,0.0149092683052199,1.1857142857142855,0.1296556305689107
1.1785714285714286,0.0122501736495207,1.1785714285714286,0.1059020028645664
1.1714285714285717,0.0102214548873331,1.1714285714285717,0.0886989530418134
1.164285714285714,0.0083192435051183,1.164285714285714,0.0751562193773198
1.1571428571428573,0.0071911708981582,1.1571428571428573,0.0635566797474697
1.15,0.0069095885072191,1.15,0.055016195402464
1.1428571428571428,0.0057577937374148,1.1428571428571428,0.0483360471119717
1.1357142857142857,0.0051567241296189,1.1357142857142857,0.0433433193505604
1.1285714285714286,0.0051962475612289,1.1285714285714286,0.0386873706465259
1.1214285714285714,0.0043045616579219,1.1214285714285714,0.033426667396926
1.1142857142857143,0.0034618357809312,1.1142857142857143,0.0257410138256699
1.1071428571428572,0.0034731858840428,1.1071428571428572,0.0189572167657347
1.1,0.0030069179462899,1.1,0.0143732528711841
1.092857142857143,0.0024008408762407,1.092857142857143,0.010721245375305
1.0857142857142856,0.0017989054637911,1.0857142857142856,0.0052638854588287
1.0785714285714283,0.0016354516326009,1.0785714285714283,0.0018325053838773
1.0714285714285714,0.0012121159992918,1.0714285714285714,0.0
1.0642857142857145,0.000671413982511,1.0642857142857145,0.0
1.0571428571428572,0.000133708981839,1.0571428571428572,0.0
1.05,0.0,1.05,0.0
1.042857142857143,0.0,1.042857142857143,0.0
1.0357142857142858,0.0,1.0357142857142858,0.0
1.0285714285714285,0.0,1.0285714285714285,0.0
1.0,0.0,1.0,0.0
