frame,axis_0_2,correct_force_0_2,cycle,strain_x,lambda_x,stress_x_mpa
1,0.0,-0.003810561196629,1,0.0,1.0,-0.001385658616956
2,0.03,-0.0005831710838788,1,0.1153846153846153,1.001153846153846,-0.0002120622123195
3,0.06,0.0035587191010964,1,0.2307692307692307,1.0023076923076923,0.0012940796731259
4,0.09,0.0065490214222123,1,0.3461538461538461,1.0034615384615384,0.0023814623353499
5,0.12,0.0115664086809612,1,0.4615384615384615,1.0046153846153847,0.0042059667930768
6,0.15,0.0137563700464325,1,0.5769230769230769,1.0057692307692307,0.0050023163805209
7,0.18,0.0192420450909558,1,0.6923076923076923,1.006923076923077,0.0069971073058021
8,0.21,0.0223079466277909,1,0.8076923076923077,1.008076923076923,0.0081119805919239
9,0.24,0.0269904284955296,1,0.9230769230769232,1.0092307692307692,0.0098147012711016
10,0.27,0.0295952154825561,1,1.0384615384615383,1.0103846153846154,0.0107618965391113
11,0.3,0.0334593726185358,1,1.1538461538461535,1.0115384615384615,0.0121670445885584
12,0.33,0.0371098942529551,1,1.2692307692307692,1.0126923076923078,0.0134945070010745
13,0.36,0.0401569677208228,1,1.3846153846153846,1.0138461538461538,0.0146025337166628
14,0.39,0.0442466712900601,1,1.5,1.015,0.0160896986509309
15,0.42,0.0479314387508589,1,1.6153846153846154,1.0161538461538462,0.0174296140912214
16,0.45,0.0497161820564149,1,1.7307692307692308,1.0173076923076922,0.0180786116568781
17,0.48,0.0546102554510154,1,1.8461538461538465,1.0184615384615385,0.0198582747094601
18,0.51,0.0580263244556803,1,1.9615384615384612,1.0196153846153846,0.0211004816202473
19,0.54,0.060994841470608,1,2.076923076923077,1.0207692307692309,0.0221799423529483
20,0.57,0.0643502510007696,1,2.192307692307692,1.021923076923077,0.0234000912730071
21,0.6,0.068369577890887,1,2.3076923076923075,1.023076923076923,0.0248616646875952
22,0.63,0.0718976298527977,1,2.423076923076923,1.0242307692307693,0.0261445926737446
23,0.66,0.0750309173588311,1,2.5384615384615383,1.0253846153846153,0.0272839699486658
24,0.69,0.077875065143544,1,2.6538461538461537,1.0265384615384616,0.0283182055067432
25,0.72,0.0814954717576055,1,2.769230769230769,1.0276923076923077,0.0296347170027656
26,0.75,0.0847310510425583,1,2.8846153846153846,1.0288461538461537,0.030811291288203
27,0.78,0.0867018131362877,1,3.0,1.03,0.0315279320495591
28,0.81,0.0906604216312726,1,3.1153846153846154,1.031153846153846,0.0329674260477354
29,0.84,0.0945462384965905,1,3.230769230769231,1.0323076923076924,0.0343804503623965
30,0.87,0.0983151569782875,1,3.3461538461538463,1.0334615384615384,0.0357509661739227
31,0.9,0.1004732179198953,1,3.4615384615384617,1.0346153846153847,0.0365357156072346
32,0.93,0.1036320704001071,1,3.576923076923077,1.0357692307692308,0.0376843892364025
33,0.96,0.1055633551662468,1,3.692307692307693,1.0369230769230768,0.0383866746059079
34,0.99,0.1092946545974722,1,3.807692307692308,1.0380769230769231,0.0397435107627171
35,1.02,0.1116175127071331,1,3.923076923076923,1.0392307692307692,0.0405881864389574
36,1.05,0.1157242621951184,1,4.038461538461538,1.0403846153846155,0.0420815498891339
37,1.08,0.1181000694908193,1,4.153846153846154,1.0415384615384615,0.0429454798148433
38,1.11,0.1214530642817586,1,4.26923076923077,1.0426923076923078,0.0441647506479122
39,1.14,0.1239289402106926,1,4.384615384615384,1.0438461538461539,0.0450650691675245
40,1.17,0.1266365846580553,1,4.5,1.045,0.0460496671483837
41,1.2,0.1303052882587886,1,4.615384615384615,1.0461538461538462,0.047383741185014
42,1.23,0.1329765895945555,1,4.730769230769231,1.0473076923076923,0.0483551234889292
43,1.26,0.1346928627190418,1,4.846153846153846,1.0484615384615386,0.0489792228069242
44,1.29,0.1391736249619123,1,4.961538461538462,1.0496153846153846,0.0506085908952408
45,1.32,0.1409431595879207,1,5.076923076923077,1.0507692307692307,0.0512520580319711
46,1.35,0.1438216217349105,1,5.1923076923076925,1.051923076923077,0.0522987715399674
47,1.38,0.1470162278312458,1,5.307692307692308,1.053076923076923,0.0534604464840893
48,1.41,0.1499144514801002,1,5.423076923076923,1.0542307692307693,0.0545143459927637
49,1.44,0.1545043194449199,1,5.538461538461538,1.0553846153846154,0.0561833888890617
50,1.47,0.1562101955725494,1,5.653846153846154,1.0565384615384616,0.056803707480927
51,1.5,0.1584085596703932,1,5.769230769230769,1.0576923076923077,0.0576031126074157
52,1.53,0.1609423002784764,1,5.884615384615385,1.0588461538461538,0.0585244728285368
53,1.56,0.1637826515504057,1,6.0,1.06,0.0595573278365111
54,1.59,0.1681327234278359,1,6.115384615384615,1.0611538461538461,0.0611391721555766
55,1.62,0.1698654920150331,1,6.230769230769231,1.0623076923076924,0.0617692698236484
56,1.65,0.1719032041376004,1,6.346153846153846,1.0634615384615385,0.0625102560500365
57,1.68,0.1748023897181395,1,6.461538461538462,1.0646153846153845,0.0635645053520507
58,1.71,0.1777807510772236,1,6.576923076923077,1.0657692307692308,0.0646475458462631
59,1.74,0.1817695665799307,1,6.6923076923076925,1.0669230769230769,0.0660980242108839
60,1.77,0.1826171312269584,1,6.807692307692308,1.0680769230769231,0.0664062295370758
61,1.8,0.1860954413816167,1,6.923076923076923,1.0692307692307692,0.0676710695933151
62,1.83,0.1874703377069597,1,7.038461538461538,1.0703846153846155,0.0681710318934399
63,1.86,0.1908040139835134,1,7.153846153846154,1.0715384615384616,0.0693832778121867
64,1.89,0.1933477220823704,1,7.269230769230769,1.0726923076923076,0.0703082625754074
65,1.92,0.1978691718753237,1,7.384615384615385,1.073846153846154,0.0719524261364813
66,1.95,0.1990685283921643,1,7.5,1.075,0.0723885557789688
67,1.98,0.2011387948491356,1,7.615384615384615,1.0761538461538462,0.0731413799451402
68,2.01,0.2043564689473602,1,7.73076923076923,1.0773076923076923,0.0743114432535855
69,2.04,0.207558720666838,1,7.846153846153846,1.0784615384615384,0.0754758984243047
70,2.07,0.2097414428196981,1,7.961538461538461,1.0796153846153846,0.0762696155707993
