frame,axis_0_2,correct_force_0_2,cycle,strain_x,lambda_x,stress_x_mpa
1,0.0,-0.0032183427236292,1,0.0,1.0,-0.0012873370894516
2,0.03,-0.0011886451368574,1,0.1153846153846153,1.001153846153846,-0.0004754580547429
3,0.06,0.0023161764380213,1,0.2307692307692307,1.0023076923076923,0.0009264705752085
4,0.09,0.0070558964364526,1,0.3461538461538461,1.0034615384615384,0.002822358574581
5,0.12,0.0106884547253953,1,0.4615384615384615,1.0046153846153847,0.0042753818901581
6,0.15,0.0151280255202872,1,0.5769230769230769,1.0057692307692307,0.0060512102081148
7,0.18,0.0175398860236296,1,0.6923076923076923,1.006923076923077,0.0070159544094518
8,0.21,0.0218884939222376,1,0.8076923076923077,1.008076923076923,0.008755397568895
9,0.24,0.0262910686348313,1,0.9230769230769232,1.0092307692307692,0.0105164274539325
10,0.27,0.0297562817819131,1,1.0384615384615383,1.0103846153846154,0.0119025127127652
11,0.3,0.0331137512929418,1,1.1538461538461535,1.0115384615384615,0.0132455005171767
12,0.33,0.0368346933617911,1,1.2692307692307692,1.0126923076923078,0.0147338773447164
13,0.36,0.0391039166928683,1,1.3846153846153846,1.0138461538461538,0.0156415666771473
14,0.39,0.0437714897906765,1,1.5,1.015,0.0175085959162706
15,0.42,0.0474401660638051,1,1.6153846153846154,1.0161538461538462,0.018976066425522
16,0.45,0.0514095097528285,1,1.7307692307692308,1.0173076923076922,0.0205638039011314
17,0.48,0.0525924481851209,1,1.8461538461538465,1.0184615384615385,0.0210369792740483
18,0.51,0.0555581557120751,1,1.9615384615384612,1.0196153846153846,0.02222326228483
19,0.54,0.0615222568668234,1,2.076923076923077,1.0207692307692309,0.0246089027467293
20,0.57,0.065116014005654,1,2.192307692307692,1.021923076923077,0.0260464056022616
21,0.6,0.0678393927190353,1,2.3076923076923075,1.023076923076923,0.0271357570876141
22,0.63,0.0699611954347937,1,2.423076923076923,1.0242307692307693,0.0279844781739174
23,0.66,0.0739946819169567,1,2.5384615384615383,1.0253846153846153,0.0295978727667826
24,0.69,0.0778157837611052,1,2.6538461538461537,1.0265384615384616,0.031126313504442
25,0.72,0.0814179817319054,1,2.769230769230769,1.0276923076923077,0.0325671926927621
26,0.75,0.0842999802010723,1,2.8846153846153846,1.0288461538461537,0.0337199920804289
27,0.78,0.0866347886722599,1,3.0,1.03,0.0346539154689039
28,0.81,0.0894127342935831,1,3.1153846153846154,1.031153846153846,0.0357650937174332
29,0.84,0.0938582159481539,1,3.230769230769231,1.0323076923076924,0.0375432863792615
30,0.87,0.0975291662683863,1,3.3461538461538463,1.0334615384615384,0.0390116665073545
31,0.9,0.0995489983296056,1,3.4615384615384617,1.0346153846153847,0.0398195993318422
32,0.93,0.1017633736565726,1,3.576923076923077,1.0357692307692308,0.040705349462629
33,0.96,0.1047315874652197,1,3.692307692307693,1.0369230769230768,0.0418926349860878
34,0.99,0.1086728930318411,1,3.807692307692308,1.0380769230769231,0.0434691572127364
35,1.02,0.1111048956426237,1,3.923076923076923,1.0392307692307692,0.0444419582570494
36,1.05,0.1140351663734867,1,4.038461538461538,1.0403846153846155,0.0456140665493946
37,1.08,0.1164239516787818,1,4.153846153846154,1.0415384615384615,0.0465695806715127
38,1.11,0.119142244132111,1,4.26923076923077,1.0426923076923078,0.0476568976528444
39,1.14,0.1234534496491132,1,4.384615384615384,1.0438461538461539,0.0493813798596452
40,1.17,0.1257171513025282,1,4.5,1.045,0.0502868605210112
41,1.2,0.1277492371918176,1,4.615384615384615,1.0461538461538462,0.051099694876727
42,1.23,0.1302630007425176,1,4.730769230769231,1.0473076923076923,0.052105200297007
43,1.26,0.132930869861268,1,4.846153846153846,1.0484615384615386,0.0531723479445072
44,1.29,0.1361425739289317,1,4.961538461538462,1.0496153846153846,0.0544570295715726
