,lambda_x,lambda_y,stress_x,stress_y,experiment_type,P11_model,P22_model
0,tensor(1.0009),tensor(1.0008),tensor(0.0007),tensor(0.0097),100_100,1.1638515e-07,0.0035939564
1,tensor(1.0081),tensor(1.0049),tensor(0.0020),tensor(0.0199),100_100,5.0474795e-05,0.022525305
2,tensor(1.0151),tensor(1.0083),tensor(0.0031),tensor(0.0269),100_100,0.00029245944,0.03873393
3,tensor(1.0219),tensor(1.0111),tensor(0.0039),tensor(0.0351),100_100,0.0008247821,0.05290093
4,tensor(1.0286),tensor(1.0136),tensor(0.0047),tensor(0.0469),100_100,0.001720216,0.065812856
5,tensor(1.0353),tensor(1.0158),tensor(0.0059),tensor(0.0610),100_100,0.003058373,0.078362525
6,tensor(1.0419),tensor(1.0179),tensor(0.0079),tensor(0.0768),100_100,0.004913293,0.09119612
7,tensor(1.0489),tensor(1.0205),tensor(0.0097),tensor(0.0925),100_100,0.00767194,0.108141765
8,tensor(1.0561),tensor(1.0234),tensor(0.0119),tensor(0.1106),100_100,0.011502733,0.12766767
9,tensor(1.0633),tensor(1.0265),tensor(0.0147),tensor(0.1336),100_100,0.01656145,0.15028563
10,tensor(1.0702),tensor(1.0295),tensor(0.0180),tensor(0.1591),100_100,0.022604251,0.17382394
11,tensor(1.0774),tensor(1.0328),tensor(0.0215),tensor(0.1898),100_100,0.030437797,0.2016917
12,tensor(1.0842),tensor(1.0366),tensor(0.0265),tensor(0.2228),100_100,0.040010113,0.23507772
13,tensor(1.0914),tensor(1.0407),tensor(0.0325),tensor(0.2606),100_100,0.052152555,0.27400607
14,tensor(1.0978),tensor(1.0450),tensor(0.0393),tensor(0.3033),100_100,0.065752774,0.3161949
15,tensor(1.1044),tensor(1.0496),tensor(0.0480),tensor(0.3531),100_100,0.08238345,0.36572003
16,tensor(1.1117),tensor(1.0550),tensor(0.0587),tensor(0.4077),100_100,0.10454936,0.42785144
17,tensor(1.1184),tensor(1.0602),tensor(0.0715),tensor(0.4709),100_100,0.12852085,0.49215323
18,tensor(1.1237),tensor(1.0644),tensor(0.0878),tensor(0.5436),100_100,0.1504836,0.5484749
19,tensor(1.1265),tensor(1.0666),tensor(0.1073),tensor(0.6258),100_100,0.16273534,0.5790633
20,tensor(1.1272),tensor(1.0669),tensor(0.1245),tensor(0.6912),100_100,0.16516073,0.5837966
22,tensor(1.0079),tensor(1.0076),tensor(0.),tensor(0.),100_075,8.403473e-05,0.035107456
23,tensor(1.0099),tensor(1.0077),tensor(0.),tensor(0.0010),100_075,0.00012294523,0.035498653
24,tensor(1.0142),tensor(1.0086),tensor(0.0012),tensor(0.0092),100_075,0.00026984967,0.040179897
25,tensor(1.0203),tensor(1.0104),tensor(0.0021),tensor(0.0155),100_075,0.0006605437,0.049103525
26,tensor(1.0273),tensor(1.0126),tensor(0.0029),tensor(0.0218),100_075,0.0014627267,0.060702033
27,tensor(1.0343),tensor(1.0143),tensor(0.0039),tensor(0.0297),100_075,0.002654269,0.07042006
28,tensor(1.0412),tensor(1.0163),tensor(0.0050),tensor(0.0393),100_075,0.004387984,0.08242383
29,tensor(1.0487),tensor(1.0180),tensor(0.0061),tensor(0.0489),100_075,0.0068592476,0.09374118
30,tensor(1.0561),tensor(1.0197),tensor(0.0077),tensor(0.0592),100_075,0.010098408,0.106542975
31,tensor(1.0639),tensor(1.0216),tensor(0.0098),tensor(0.0702),100_075,0.01440789,0.12097624
32,tensor(1.0722),tensor(1.0235),tensor(0.0120),tensor(0.0845),100_075,0.020149486,0.13773727
33,tensor(1.0798),tensor(1.0250),tensor(0.0144),tensor(0.1015),100_075,0.026429007,0.15323025
34,tensor(1.0876),tensor(1.0267),tensor(0.0176),tensor(0.1200),100_075,0.034115896,0.17100367
35,tensor(1.0951),tensor(1.0285),tensor(0.0214),tensor(0.1389),100_075,0.043011937,0.19108371
36,tensor(1.1024),tensor(1.0304),tensor(0.0257),tensor(0.1628),100_075,0.053098988,0.21342234
37,tensor(1.1101),tensor(1.0325),tensor(0.0309),tensor(0.1898),100_075,0.065466285,0.23977998
