,lamx,lamy,Px,Py,experiment_type,P11_model,P22_model
136,tensor(1.0058),tensor(1.0141),tensor(0.),tensor(0.0158),030_100,2.0549202,2.063958
137,tensor(1.0068),tensor(1.0164),tensor(0.),tensor(0.0240),030_100,2.0868602,2.103238
138,tensor(1.0084),tensor(1.0189),tensor(6.2813e-05),tensor(0.0347),030_100,2.1283355,2.1502607
139,tensor(1.0101),tensor(1.0211),tensor(0.0004),tensor(0.0467),030_100,2.1704116,2.1959906
140,tensor(1.0117),tensor(1.0229),tensor(0.0013),tensor(0.0612),030_100,2.208558,2.2351007
141,tensor(1.0132),tensor(1.0247),tensor(0.0022),tensor(0.0752),030_100,2.2436228,2.2722058
142,tensor(1.0148),tensor(1.0268),tensor(0.0031),tensor(0.0925),030_100,2.2844982,2.316906
143,tensor(1.0166),tensor(1.0292),tensor(0.0043),tensor(0.1145),030_100,2.3309503,2.3677535
144,tensor(1.0185),tensor(1.0317),tensor(0.0056),tensor(0.1397),030_100,2.37999,2.4210818
145,tensor(1.0207),tensor(1.0346),tensor(0.0068),tensor(0.1688),030_100,2.4369035,2.4833434
146,tensor(1.0228),tensor(1.0379),tensor(0.0090),tensor(0.2016),030_100,2.4965336,2.551277
147,tensor(1.0252),tensor(1.0416),tensor(0.0111),tensor(0.2391),030_100,2.5644116,2.6299965
148,tensor(1.0276),tensor(1.0461),tensor(0.0138),tensor(0.2810),030_100,2.6405253,2.721885
149,tensor(1.0297),tensor(1.0506),tensor(0.0171),tensor(0.3281),030_100,2.7135408,2.8144073
150,tensor(1.0319),tensor(1.0561),tensor(0.0210),tensor(0.3808),030_100,2.7983627,2.9257364
151,tensor(1.0338),tensor(1.0615),tensor(0.0259),tensor(0.4431),030_100,2.8798683,3.0372815
152,tensor(1.0356),tensor(1.0661),tensor(0.0320),tensor(0.5163),030_100,2.9516058,3.1337643
153,tensor(1.0367),tensor(1.0689),tensor(0.0348),tensor(0.5505),030_100,2.9968898,3.1948848
