# Xlam,PX,Ylam,PY,experiment_type
1.000400051981358,0.0014501842367951,1.0000709357523183,0.0,0.0
1.0036121208716189,0.0185239256180879,1.008889336295875,0.0015103989443359,0.0
1.006326819378506,0.0329515383817945,1.0171288199862427,0.0030394581648564,0.0
1.0087029111165653,0.0491179515388612,1.0249254520960294,0.0047780754379551,0.0
1.0108991597003418,0.066102713089259,1.0324152978978431,0.0053833684374104,0.0
1.013074328744383,0.0853869256096521,1.0397344226642946,0.0074152769258784,0.0
1.0155737143720074,0.1084088553780402,1.0473545799197534,0.0079867411757281,0.0
1.0184647794731045,0.1370367177991742,1.0547319592268676,0.0094930229793459,0.0
1.021321289102657,0.1680278238173971,1.0621877475866088,0.011551425682324,0.0
1.0246224427753252,0.2013769955469834,1.0697133033924318,0.0132663407726514,0.0
1.0279427894762336,0.2416338734473555,1.0771019321446778,0.016641308429891,0.0
1.0320277187902243,0.2835011614404681,1.084918854370495,0.0188199884679229,0.0
1.0360256612562542,0.3291902969548256,1.0927033877325985,0.0226085294814118,0.0
1.0402454275751865,0.380818880046139,1.1002565055632503,0.0267087907477162,0.0
1.0447085072048898,0.4355702845961933,1.107821574896175,0.0316497829350939,0.0
1.049790780687559,0.4994121013121604,1.1159244708904814,0.0367413833802203,0.0
1.0554654500299012,0.5650949749124079,1.1248259774047435,0.0428402309595393,0.0
1.0609467213591826,0.6299978067847357,1.1330255514237568,0.0500807447150101,0.0
1.0652794736291078,0.6979395380323378,1.1393862817159728,0.058777820320013,0.0
1.0680552878381102,0.7708791720171775,1.1431571709222885,0.0669914898638782,0.0
1.0686840093821286,0.7782388009538744,1.143736620291732,0.0677047641342001,0.0
1.0672958051514019,0.6175041979604436,1.140853993302771,0.0491518152141822,0.0
1.0636879697957693,0.4943209387347878,1.1349621064585176,0.0363147665720354,0.0
1.058878707517923,0.4013030333582773,1.1268320333767399,0.0282780229859673,0.0
1.0533730974784377,0.3201820972834339,1.1177216818004996,0.0204713470743806,0.0
1.048029335000194,0.2540863369210192,1.108895998833689,0.015870951209512,0.0
1.043380550038353,0.2027533451079723,1.1008660108248047,0.0114279624033562,0.0
1.039276446414318,0.1600294185788785,1.0929494630604335,0.0089937304878699,0.0
1.035631641094561,0.1233109658974189,1.0850869600008528,0.007469925155641,0.0
1.0323783625916214,0.0938285770674458,1.0772975628072445,0.0049924410798729,0.0
1.0292247995764863,0.0693880604831097,1.069188234381017,0.0036363657334052,0.0
1.0262172233647593,0.0476960391540263,1.0606598689595859,0.0025560078711065,0.0
1.0235988569463934,0.032554181367067,1.052590000884698,0.0018907949315656,0.0
1.0210323712680884,0.0225648199640703,1.0448491570253005,0.0012131414801542,0.0
1.018467881534357,0.0126258329686765,1.0376697632770155,0.0006717821401627,0.0
1.0156414388282122,0.0013764856827732,1.0304320966085416,0.0,0.0
1.0127198681297456,0.0,1.0229136670732024,0.0,0.0
1.0099111671956105,0.0,1.0160599136064072,0.0,0.0
1.0077314506689874,0.0,1.0108816822169977,0.0,0.0
1.0063372063435896,0.0,1.0076094941905986,0.0,0.0
1.0057930901500574,0.0,1.006164687340489,0.0,1.0
1.0065667600424966,0.0,1.0068523083968728,0.0,1.0
1.0083792654527561,0.0066763265955497,1.0100046404988439,0.0,1.0
1.0106874686438827,0.0244483595179895,1.0146572519362413,0.0008553490486885,1.0
