# Xlam,PX,Ylam,PY,file,upper_bound_F_xx,upper_bound_F_yy
1.000400051981358,0.0050787655813463,1.0000709357523183,0.000178836423977,data0.csv,1.0,1.0
1.0036121208716189,0.0215497621555383,1.008889336295875,0.0030461809239941,data1.csv,1.0045506076733737,1.0086907077462597
1.006326819378506,0.035088034049595,1.0171288199862427,0.0049857896057952,data2.csv,1.0058001358496678,1.0178872602711024
1.0087029111165653,0.0488492425798231,1.0249254520960294,0.0059345069490248,data3.csv,1.0088024720431383,1.0248984596728257
1.0108991597003418,0.0647067205121632,1.0324152978978431,0.0072914737905709,data4.csv,1.0104256408658931,1.0313143281618484
1.013074328744383,0.0840223491224693,1.0397344226642946,0.0084955144871645,data5.csv,1.0133818055302082,1.0400210867236963
1.0155737143720074,0.1054304523165957,1.0473545799197534,0.0091979870180578,data6.csv,1.0160187521990511,1.047842564748004
1.0184647794731045,0.1313246732497648,1.0547319592268676,0.0112399247456687,data7.csv,1.0170488017591266,1.0539319992930654
1.021321289102657,0.1608159972939299,1.0621877475866088,0.0128132704175491,data8.csv,1.0210158038112664,1.0618255526603284
1.0246224427753252,0.1943916150534377,1.0697133033924318,0.0144147538505231,data9.csv,1.0255210345722447,1.0703447160805506
1.0279427894762336,0.2323450601782019,1.0771019321446778,0.0172649663914939,data10.csv,1.028825185998678,1.078415906997943
1.0320277187902243,0.2721407352733092,1.084918854370495,0.0205674641155175,data11.csv,1.031339346850667,1.0835040899678312
1.0360256612562542,0.3172149426719231,1.0927033877325985,0.0229294379333349,data12.csv,1.0352960971120737,1.091864211349658
1.0402454275751865,0.3700465076567527,1.1002565055632503,0.0272091135707275,data13.csv,1.0404446904069322,1.100621644327172
1.0447085072048898,0.4242017086483875,1.107821574896175,0.0313063940984237,data14.csv,1.0444649523994172,1.108405896112272
1.049790780687559,0.4840026432868591,1.1159244708904814,0.0369220094910308,data15.csv,1.0508916685949845,1.11655604451345
1.0554654500299012,0.5500101231221373,1.1248259774047435,0.0432817244348913,data16.csv,1.0528632150239372,1.1223368916903294
1.0609467213591826,0.6190712714339356,1.1330255514237568,0.0502522466038917,data17.csv,1.0607371080193262,1.1306380849711832
1.0652794736291078,0.6860700555342819,1.1393862817159728,0.0577634885802639,data18.csv,1.0645055897858808,1.1385658950131452
1.0680552878381102,0.7523870132119403,1.1431571709222885,0.0664129680343456,data19.csv,1.0695906004982516,1.146059812011725
1.0686840093821286,0.7618994126460197,1.143736620291732,0.0668696964490653,data20.csv,1.071893355518423,1.1489786831261122
1.0672958051514019,0.6105002785756731,1.140853993302771,0.0487171674165307,data21.csv,1.0689992807658313,1.1432895113477717
1.0636879697957693,0.4892884104924109,1.1349621064585176,0.0364989687081744,data22.csv,1.0629393643054124,1.1335601795541486
1.058878707517923,0.3908297239593402,1.1268320333767399,0.0279764626678741,data23.csv,1.0577129431812853,1.1246546597786304
1.0533730974784377,0.3136587149046909,1.1177216818004996,0.0216506348211741,data24.csv,1.0521995528786752,1.1157611351786745
1.048029335000194,0.2508926990290108,1.108895998833689,0.0168720223336687,data25.csv,1.0470440991450178,1.1071633446872684
1.043380550038353,0.1978029036942587,1.1008660108248047,0.0141513752322397,data26.csv,1.0439697210599073,1.101817791562629
1.039276446414318,0.1542938555346371,1.0929494630604335,0.0102559100569272,data27.csv,1.0390936268048745,1.0934658656177614
1.035631641094561,0.1199151205553945,1.0850869600008528,0.0083207513167568,data28.csv,1.0363911349483712,1.0863878797263713
1.0323783625916214,0.0914392191194667,1.0772975628072445,0.0065524302301846,data29.csv,1.0319557378595832,1.07753650945599
1.0292247995764863,0.0659766454274392,1.069188234381017,0.0054913317707503,data30.csv,1.0286441329122882,1.0680560133103498
1.0262172233647593,0.0454946256636106,1.0606598689595859,0.004437297468092,data31.csv,1.026029860581221,1.059553757580235
1.0235988569463934,0.0327892403199744,1.052590000884698,0.0037173704082737,data32.csv,1.024334117377093,1.053732570472616
1.0210520329197939,0.0224204724513654,1.04479995284235,0.0023693327479493,data33.csv,1.0210480789573757,1.0456982110087198
1.0185470721674528,0.0115369872214316,1.0373652015326396,0.001293448146066,data34.csv,1.0180344677264317,1.0367862493723587
1.0160137910407903,0.0,1.0303716465183834,0.0002150909159151,data35.csv,1.0162057409378331,1.0297750405882564
1.0133820058912277,0.0,1.023905187362401,0.0,data36.csv,1.0135115561706969,1.0242785202988138
1.0105815330701875,0.0,1.0180517236275117,0.0,data37.csv,1.010501552890437,1.0180362366400435
