,lambda,P_experimental,I1,I2,F,experiment_type,P_model_PDMS_StrainEnergyCANN_polinomial3_0
0,0.689936,-89.63624867,3.374831284754612,3.4806607692906386,"([0.689936, 0, 0], [0, 1.2039143658621678, 0], [0, 0, 1.2039143658621678])",Compression,-172.83218
1,0.6960692,-83.56170506,3.357789873134182,3.4560693582621544,"([0.6960692, 0, 0], [0, 1.1985986696858841, 0], [0, 0, 1.1985986696858841])",Compression,-158.85963
2,0.702543,-77.31957299,3.3403675032390856,3.4311547505178233,"([0.702543, 0, 0], [0, 1.1930634594165739, 0], [0, 0, 1.1930634594165739])",Compression,-145.42352
3,0.7086762,-71.49985621,3.3243853083411414,3.4085038961943845,"([0.7086762, 0, 0], [0, 1.1878895891232277, 0], [0, 0, 1.1878895891232277])",Compression,-133.82053
4,0.71515,-65.57265158999999,3.308055617025624,3.3855653950399387,"([0.71515, 0, 0], [0, 1.1825007599417483, 0], [0, 0, 1.1825007599417483])",Compression,-122.64833
5,0.7212832,-60.379844080000005,3.293085422499454,3.36472122621612,"([0.7212832, 0, 0], [0, 1.1774625191268753, 0], [0, 0, 1.1774625191268753])",Compression,-112.987656
6,0.727757,-55.00047714,3.2778003133087927,3.3436236727752484,"([0.727757, 0, 0], [0, 1.1722137309935832, 0], [0, 0, 1.1722137309935832])",Compression,-103.67343
7,0.7342309,-49.66537459,3.2630337645728638,3.323422378516958,"([0.7342309, 0, 0], [0, 1.1670344360939084, 0], [0, 0, 1.1670344360939084])",Compression,-95.18091
8,0.740364,-44.74374417,3.249512771271089,3.3050832622595703,"([0.740364, 0, 0], [0, 1.1621905865164905, 0], [0, 0, 1.1621905865164905])",Compression,-87.822685
9,0.7468379,-39.7104853,3.2357241405457264,3.2865396140012155,"([0.7468379, 0, 0], [0, 1.1571424483764556, 0], [0, 0, 1.1571424483764556])",Compression,-80.7138
10,0.752971,-35.355448190000004,3.223110118605889,3.2697182887049365,"([0.752971, 0, 0], [0, 1.1524202340650065, 0], [0, 0, 1.1524202340650065])",Compression,-74.54607
11,0.7594449,-31.24218029,3.210258999828765,3.252723580233928,"([0.7594449, 0, 0], [0, 1.1474978090812973, 0], [0, 0, 1.1474978090812973])",Compression,-68.579094
12,0.765578,-27.7331908,3.198514941737982,3.237321320616568,"([0.765578, 0, 0], [0, 1.1428922231894794, 0], [0, 0, 1.1428922231894794])",Compression,-63.394848
