,lambda_x,lambda_y,stress_x,stress_y,experiment_type,P11_model,P22_model
259,tensor(1.0786),tensor(1.0173),tensor(0.0119),tensor(0.0562),OffY,0.04786559,0.16089123
260,tensor(1.0854),tensor(1.0182),tensor(0.0142),tensor(0.0647),OffY,0.05947705,0.17825887
261,tensor(1.0929),tensor(1.0194),tensor(0.0171),tensor(0.0734),OffY,0.07433004,0.20014548
262,tensor(1.1004),tensor(1.0204),tensor(0.0203),tensor(0.0860),OffY,0.09128724,0.223448
263,tensor(1.1080),tensor(1.0216),tensor(0.0235),tensor(0.0962),OffY,0.11111271,0.2500192
264,tensor(1.1153),tensor(1.0227),tensor(0.0279),tensor(0.1120),OffY,0.13231081,0.27741188
265,tensor(1.1238),tensor(1.0242),tensor(0.0329),tensor(0.1294),OffY,0.16090456,0.3149113
266,tensor(1.1321),tensor(1.0257),tensor(0.0387),tensor(0.1472),OffY,0.19224808,0.35456526
267,tensor(1.1388),tensor(1.0268),tensor(0.0468),tensor(0.1715),OffY,0.21943174,0.38773698
268,tensor(1.1430),tensor(1.0273),tensor(0.0563),tensor(0.1968),OffY,0.23747565,0.40849453
