# Xlam,PX,Ylam,PY
1.0,0.0,1.0,0.0008202190005093
1.0,0.0,1.0071428571428571,0.0029932118859003
1.0,0.0,1.0142857142857142,0.0053602660896211
1.0,0.0,1.0214285714285714,0.0070274892824958
1.0,0.0,1.0285714285714285,0.0080318248770722
1.0,0.0,1.0357142857142858,0.0091233463385053
1.0,0.0,1.042857142857143,0.0108830885039611
1.0,0.0,1.05,0.0119115210530546
1.0,0.0001577902691698,1.0571428571428572,0.0126261485303928
1.0,0.000504873277586,1.0642857142857145,0.013546454385871
1.0,0.0008336629703831,1.0714285714285714,0.0152931468810486
1.0,0.0008459069204045,1.0785714285714283,0.0162095703382417
1.0,0.0010108987914406,1.0857142857142856,0.0177879920910191
1.0,0.0014080291665751,1.092857142857143,0.0186079148831704
1.0,0.0018405885246782,1.1,0.0206865213400033
1.0,0.0018766403500345,1.1071428571428572,0.0220717272298773
1.0,0.0026161654670616,1.1142857142857143,0.0227429435008635
1.0,0.0029927883492912,1.1214285714285714,0.0246355965210312
1.0,0.0033983565010104,1.1285714285714286,0.0263792391051828
1.0,0.003905620255731,1.1357142857142857,0.0283711369263794
1.0,0.0043852237050114,1.1428571428571428,0.0277301896338291
1.0,0.0042630713875447,1.1357142857142857,0.0224768761669071
1.0,0.0039590100821731,1.1285714285714286,0.0188049451279148
1.0,0.0037579498705098,1.1214285714285714,0.0161264746260907
1.0,0.0035720225679182,1.1142857142857143,0.0140821416407441
1.0,0.0034223820793952,1.1071428571428572,0.0122809947473891
1.0,0.0031711434959138,1.1,0.010434058397379
1.0,0.0030096933367715,1.092857142857143,0.0087403767945242
1.0,0.0029063449793979,1.0857142857142856,0.0081633527484734
1.0,0.0025897780797415,1.0785714285714283,0.0058752790295216
1.0,0.0023567419249247,1.0714285714285714,0.0058474543380611
1.0,0.0020988331653658,1.0642857142857145,0.0045297023978643
1.0,0.0021487028123608,1.0571428571428572,0.0042948581991822
1.0,0.001611493308337,1.05,0.0026490345155552
1.0,0.00138956667188,1.042857142857143,0.0021736491597022
1.0,0.0012447081113154,1.0357142857142858,0.0012273668955176
1.0,0.0009383173234981,1.0285714285714285,0.000617567520213
1.0,0.0004767165991772,1.0,0.0
