frame,axis_0_2,axis_1_3,correct_force_0_2,correct_force_1_3,cycle,strain_x,strain_y,stress_x_mpa,stress_y_mpa,lambda_clamps_X,lambda_clamps_Y,mean_stress_x_mpa,mean_stress_y_mpa,file,lambda_DIC_F_xx,labmda_DIC_F_yy,mean_lambda_DIC_F_xx,mean_labmda_DIC_F_yy
1,0.0,0.0,-0.0023851851851851,0.0166856767374821,1,0.0,0.0,-0.0003549382716049,0.0024829876097443,1.0,1.0,-0.0003549382716049,0.0024829876097443,data0.csv,1.0,1.0,1.0,1.0
2,0.01,0.04,0.0112108465608465,0.1629462033691208,1,0.1428571428571428,0.5714285714285714,0.0016682807382212,0.0242479469299286,1.0014285714285711,1.0057142857142858,0.0016682807382212,0.0242479469299286,data1.csv,1.0052325934667248,1.0062147154082703,1.0052325934667248,1.0062147154082703
3,0.02,0.08,0.0138946418073402,0.2462854726718593,1,0.2857142857142857,1.1428571428571428,0.0020676550308541,0.0366496239095028,1.002857142857143,1.0114285714285711,-0.0036284841524506,-0.0213924285931278,data2.csv,1.0019028025792989,1.0086498051561772,1.0088877978596251,1.0117431451879213
4,0.03,0.12,0.0195530468892537,0.2734553043238733,1,0.4285714285714285,1.7142857142857142,0.0029096795966151,0.040692753619624,1.0042857142857142,1.0171428571428571,-0.0016648158151904,-0.0020091496846971,data3.csv,1.0045793140949448,1.0112072449471785,1.0070212895176234,1.0143234444581528
5,0.04,0.16,0.024942832816396,0.3196079141336018,1,0.5714285714285714,2.2857142857142856,0.0037117310738684,0.0475607015079764,1.0057142857142858,1.022857142857143,-0.0008279926886676,0.0037767932166541,data4.csv,1.007146401185617,1.0153217427953307,1.0104887842455068,1.0184163771442822
6,0.05,0.2,0.0255840175150519,0.3751958951175603,1,0.7142857142857143,2.857142857142857,0.0038071454635493,0.0558327224877321,1.0071428571428571,1.0285714285714285,-0.0006199500873146,0.009942125139136,data5.csv,1.0076462334356362,1.0184689860621463,1.00984215162558,1.0218512360355607
7,0.06,0.24,0.0300097883597883,0.434587923439061,1,0.8571428571428571,3.4285714285714284,0.0044657423154446,0.0646708219403364,1.008571428571429,1.0342857142857145,-0.0002823787931748,0.0166583920330485,data6.csv,1.0098693597765795,1.0223240301061594,1.010981443002894,1.025952509030458
8,0.07,0.28,0.0338481207808794,0.4897518029686773,1,1.0000000000000002,4.000000000000001,0.0050369227352499,0.0728797325846246,1.01,1.04,0.0002211257667179,0.0225453904581427,data7.csv,1.012513183467941,1.0258560696870085,1.0128786417458988,1.0293331760920659
9,0.08,0.32,0.0354077136601767,0.5552301169367,1,1.1428571428571428,4.571428571428571,0.0052690050089548,0.0826235293060565,1.0114285714285711,1.0457142857142858,0.0004285784681962,0.0292314813819757,data8.csv,1.013304997862135,1.028030204549127,1.0142780640259454,1.0328509857652244
10,0.09,0.36,0.0414634542705971,0.618961535507085,1,1.2857142857142858,5.142857142857143,0.0061701568855055,0.092107371355221,1.012857142857143,1.0514285714285714,0.0008682468665718,0.0360908203028546,data9.csv,1.015485041561647,1.030615114901705,1.0146969256945337,1.0354038108138468
