,lambda_x,lambda_y,stress_x,stress_y,experiment_type,P11_model,P22_model
108,tensor(1.0199),tensor(1.0063),tensor(0.0040),tensor(0.0243),100_075,0.0059769703,0.053312108
109,tensor(1.0248),tensor(1.0062),tensor(0.0048),tensor(0.0347),100_075,0.0067305863,0.056326248
110,tensor(1.0301),tensor(1.0061),tensor(0.0054),tensor(0.0512),100_075,0.007719407,0.059764277
111,tensor(1.0354),tensor(1.0059),tensor(0.0063),tensor(0.0676),100_075,0.008888935,0.0631223
112,tensor(1.0413),tensor(1.0060),tensor(0.0077),tensor(0.0853),100_075,0.010712766,0.06895629
113,tensor(1.0472),tensor(1.0062),tensor(0.0094),tensor(0.1089),100_075,0.01305772,0.07633006
114,tensor(1.0532),tensor(1.0070),tensor(0.0114),tensor(0.1343),100_075,0.01639627,0.08788687
115,tensor(1.0591),tensor(1.0083),tensor(0.0137),tensor(0.1645),100_075,0.020841274,0.10391558
116,tensor(1.0648),tensor(1.0097),tensor(0.0163),tensor(0.2002),100_075,0.026075076,0.12190181
117,tensor(1.0709),tensor(1.0118),tensor(0.0197),tensor(0.2420),100_075,0.033285998,0.14632967
118,tensor(1.0770),tensor(1.0143),tensor(0.0236),tensor(0.2891),100_075,0.04208153,0.17511964
119,tensor(1.0826),tensor(1.0170),tensor(0.0281),tensor(0.3420),100_075,0.052165877,0.20708515
120,tensor(1.0889),tensor(1.0208),tensor(0.0339),tensor(0.4067),100_075,0.06630315,0.2509275
121,tensor(1.0940),tensor(1.0249),tensor(0.0412),tensor(0.4774),100_075,0.08165738,0.2987132
122,tensor(1.0974),tensor(1.0277),tensor(0.0501),tensor(0.5597),100_075,0.093002096,0.33261162
123,tensor(1.),tensor(1.),tensor(0.),tensor(0.0061),100_100,-1.1251332e-08,-1.14326866e-07
124,tensor(1.0062),tensor(1.0001),tensor(0.0021),tensor(0.0196),100_100,0.0004662553,0.004571405
125,tensor(1.0124),tensor(1.0001),tensor(0.0030),tensor(0.0307),100_100,0.00093633175,0.008510119
126,tensor(1.0178),tensor(1.0000),tensor(0.0036),tensor(0.0433),100_100,0.0013428442,0.0110554965
127,tensor(1.0222),tensor(0.9998),tensor(0.0043),tensor(0.0606),100_100,0.0017354836,0.012982363
128,tensor(1.0256),tensor(0.9998),tensor(0.0052),tensor(0.0830),100_100,0.002196631,0.015357788
129,tensor(1.0276),tensor(1.0000),tensor(0.0061),tensor(0.1153),100_100,0.002655814,0.018150978
130,tensor(1.0304),tensor(1.0008),tensor(0.0073),tensor(0.1449),100_100,0.0037492912,0.025563309
131,tensor(1.0369),tensor(1.0029),tensor(0.0086),tensor(0.1817),100_100,0.00676069,0.04403107
132,tensor(1.0420),tensor(1.0058),tensor(0.0106),tensor(0.2259),100_100,0.010772324,0.068240374
133,tensor(1.0486),tensor(1.0094),tensor(0.0136),tensor(0.2766),100_100,0.016706156,0.09972449
134,tensor(1.0536),tensor(1.0135),tensor(0.0172),tensor(0.3364),100_100,0.023607604,0.13526598
135,tensor(1.0584),tensor(1.0181),tensor(0.0211),tensor(0.4020),100_100,0.03207546,0.17629766
136,tensor(1.0633),tensor(1.0233),tensor(0.0263),tensor(0.4771),100_100,0.042943075,0.22535123
137,tensor(1.0686),tensor(1.0294),tensor(0.0329),tensor(0.5602),100_100,0.057472825,0.28607452
138,tensor(1.0749),tensor(1.0368),tensor(0.0412),tensor(0.6555),100_100,0.07873884,0.36742878
139,tensor(1.0802),tensor(1.0438),tensor(0.0507),tensor(0.7638),100_100,0.10170753,0.44973794
140,tensor(1.0859),tensor(1.0502),tensor(0.0625),tensor(0.8896),100_100,0.12749591,0.5327351
141,tensor(1.0912),tensor(1.0554),tensor(0.0776),tensor(1.0380),100_100,0.15343833,0.6088869
142,tensor(1.0947),tensor(1.0610),tensor(0.0966),tensor(1.2211),100_100,0.17923102,0.68857616
