frame,axis_0_2,axis_1_3,correct_force_0_2,correct_force_1_3,cycle,strain_x,strain_y,stress_x_mpa,stress_y_mpa,lambda_clamps_X,lambda_clamps_Y,mean_stress_x_mpa,mean_stress_y_mpa,file,lambda_DIC_F_xx,labmda_DIC_F_yy,mean_lambda_DIC_F_xx,mean_labmda_DIC_F_yy
1,0.0,0.0,-0.0079263820470717,-0.0034594270249288,1,0.0,0.0,-0.0012581558804875,-0.0005491154007823,1.0,1.0,-0.0012581558804875,-0.0005491154007823,data0.csv,1.0,1.0,1.0,1.0
2,0.04,0.04,0.006468096080165,-0.0024745955285326,1,0.5714285714285714,0.5714285714285714,0.0010266819174865,-0.0003927929410369,1.0057142857142858,1.0057142857142858,-0.0053647807978678,-0.0004594002828578,data1.csv,1.0011863928842608,1.0035622107396218,1.0105097256024087,0.9955891111202787
3,0.08,0.08,0.0120879440665154,0.0012975668132823,1,1.1428571428571428,1.1428571428571428,0.0019187212803992,0.0002059629862352,1.0114285714285711,1.0114285714285711,-0.0049185053209996,-0.0001341230706228,data2.csv,1.000670184346369,1.001364713242252,1.0102770373996952,0.9944309113964864
4,0.12,0.12,0.0188201970443349,-0.0009627365654892,1,1.7142857142857142,1.7142857142857142,0.0029873328641801,-0.0001528153278554,1.0171428571428571,1.0171428571428571,-0.0044641742180056,-0.0001907750016349,data3.csv,1.0010677250416715,1.003509418993493,1.0107418560932833,0.995612823759817
5,0.16,0.16,0.0259661375661375,0.000835961619034,1,2.2857142857142856,2.2857142857142856,0.0041216091374821,0.0001326923204815,1.022857142857143,1.022857142857143,-0.0040388794665223,0.0001760205589953,data4.csv,1.0019709988893102,1.0060403929150574,1.0111235278939805,0.9973035677960523
6,0.2,0.2,0.0328394656287376,-0.0033423845006578,1,2.857142857142857,2.857142857142857,0.0052126135918631,-0.0005305372223266,1.0285714285714285,1.0285714285714285,-0.0034329744239736,-0.0005653375620835,data5.csv,1.0018720973258344,1.0058551297667582,1.0119127573971367,0.997239978506727
7,0.24,0.24,0.0396433862433862,-0.0007776387153804,1,3.4285714285714284,3.4285714285714284,0.0062926009910136,-0.000123434716727,1.0342857142857145,1.0342857142857145,-0.0029058174994135,-5.008522516225397e-05,data6.csv,1.0027335303593614,1.0075004865092485,1.012504777498421,0.9985574078463133
8,0.28,0.28,0.0454319727891156,-0.0001413396016582,1,4.000000000000001,4.000000000000001,0.0072114242522405,-2.243485740606349e-05,1.04,1.04,-0.0023967025233738,-0.0003308161190505,data7.csv,1.0031666882395314,1.008183367515642,1.0127215110305117,0.9997747180709831
9,0.32,0.32,0.0536612433862433,0.0010613779296323,1,4.571428571428571,4.571428571428571,0.008517657680356,0.0001684726872432,1.0457142857142858,1.0457142857142858,-0.0017873530638309,-0.0001226647594676,data8.csv,1.003432788738014,1.0098786067567629,1.0125832507724835,1.0013167623402666
10,0.36,0.36,0.0622394433294816,-0.0005463123190598,1,5.142857142857143,5.142857142857143,0.0098792767189653,-8.671624112060318e-05,1.0514285714285714,1.0514285714285714,-0.0011592841339976,-0.0001879289189186,data9.csv,1.0038416964492185,1.0091699752769403,1.0137787054256218,1.001580343434034
11,0.4,0.4,0.0720853741496598,-0.0012695218343214,1,5.714285714285714,5.714285714285714,0.0114421228808983,-0.0002015114022732,1.0571428571428572,1.0571428571428572,-0.0004250587786048,-0.0002687241418609,data10.csv,1.004218215491214,1.011730709080822,1.0139627652126486,1.0036983978030172
12,0.44,0.44,0.0828292282430213,0.0023356986748466,1,6.285714285714286,6.285714285714286,0.0131474965465113,0.0003707458214042,1.062857142857143,1.062857142857143,0.0003240632140467,1.465386404415e-05,data11.csv,1.0045947970194964,1.0128708511630344,1.0137093146063387,1.0045235764849765
13,0.48,0.48,0.0992540047436599,0.0044615112488134,1,6.857142857142857,6.857142857142857,0.015754603927565,0.0007081763887005,1.0685714285714285,1.0685714285714285,0.0016467841344677,0.000335065720882,data12.csv,1.0049125429659642,1.0139878585425826,1.0147417968792856,1.0058958027486617
14,0.52,0.52,0.1198912698412698,0.0029630165573024,1,7.428571428571429,7.428571428571429,0.019030360292265,0.0004703200884606,1.0742857142857145,1.0742857142857145,0.0031370877275072,-0.000118045015911,data13.csv,1.005989423769614,1.015081759448885,1.0155066768373309,1.0070552863662017
15,0.56,0.56,0.1505331882573818,0.0025279594701372,1,8.000000000000002,8.000000000000002,0.023894156866251,0.0004012634079582,1.08,1.08,0.005441661451518,8.277691280275001e-05,data14.csv,1.0062416205442577,1.013057783061473,1.016035488757451,1.006795554392355
16,0.6,0.6,0.1957954429083461,0.0012503471810655,1,8.571428571428571,8.571428571428571,0.0310786417314835,0.0001984678065183,1.0857142857142856,1.0857142857142856,0.0088950149952454,-2.377965361470001e-05,data15.csv,1.0077810121401136,1.0174883453750811,1.0169732483602545,1.0091771673968593
17,0.64,0.64,0.2697139971139971,0.0009420274724612,1,9.142857142857142,9.142857142857142,0.0428117455736503,0.0001495281702319,1.0914285714285714,1.0914285714285714,0.0145262521555038,5.153553140310873e-05,data16.csv,1.0083422230985173,1.017429023007574,1.017347069205341,1.0094866878411803
18,0.68,0.68,0.3852887155628535,7.924762446856732e-05,1,9.714285714285714,9.714285714285714,0.0611569389782307,1.2578988010883702e-05,1.0971428571428572,1.0971428571428572,0.0234285802836706,-6.350564787120815e-05,data17.csv,1.010627907451697,1.0179746214268468,1.0189610153342832,1.0094872299796371
19,0.72,0.72,0.5185024630541872,0.0002534580602798,1,10.285714285714286,10.285714285714286,0.0823019782625694,4.02314381396508e-05,1.1028571428571428,1.1028571428571428,0.0336517124091016,-0.0001052423810856,data18.csv,1.0140815183815066,1.018776519381044,1.021025815869101,1.0094316867804332
20,0.76,0.76,0.6690216931216931,-0.000370976277577,1,10.857142857142858,10.857142857142858,0.1061939195431259,-5.888512342492064e-05,1.1085714285714283,1.1085714285714283,0.045156630553456,-2.071335999872222e-05,data19.csv,1.016000894245939,1.0166139296866883,1.0233587809888363,1.0100738686443518
21,0.8,0.8,0.8342132275132276,-0.0017656659873193,1,11.428571428571429,11.428571428571429,0.1324147980179726,-0.0002802644424316,1.1142857142857143,1.1142857142857143,0.0576536158098829,-0.0003940100878067,data20.csv,1.017969322086112,1.014571328173656,1.024028423859066,1.0064332350219598
22,0.84,0.84,1.006234126984127,-0.0009721054616459,1,12.0,12.0,0.1597197026958932,-0.0001543024542295,1.12,1.12,0.0705136467102806,0.0001172122230592,data21.csv,1.020893811880148,1.0135138955844212,1.0255625870580807,1.0057963814840285
23,0.88,0.88,1.1832074074074077,-0.0025976696199772,1,12.571428571428571,12.571428571428571,0.1878106995884774,-0.0004123285111074,1.1257142857142857,1.1257142857142857,0.0846106072058453,-0.0003142330409347,data22.csv,1.0230439068160362,1.0116348525830168,1.028697639061082,1.0061933421630296
24,0.92,0.92,1.360366721401204,-0.0010383515534727,1,13.142857142857142,13.142857142857142,0.2159312256192387,-0.0001648177069004,1.1314285714285717,1.1314285714285717,0.1009103302027494,-5.367835903949999e-06,data23.csv,1.0260335389690003,1.008499578028473,1.0305602458558902,1.004461548916447
25,0.96,0.96,1.5506425925925926,-0.0024985638451025,1,13.714285714285714,13.714285714285714,0.2461337448559671,-0.0003965974357305,1.137142857142857,1.137142857142857,0.1201676744771983,-0.0004629858681345,data24.csv,1.0282013247843378,1.0057050998851913,1.0325390913693195,1.00228072398025
