# Xlam,PX,Ylam,PY,file,upper_bound_F_xx,upper_bound_F_yy
1.0006916453384207,0.0,1.0005901694242194,0.0008202190005093,data0.csv,1.0,1.0
1.0018701300918995,0.0,1.0093493351286529,0.0029932118859003,data1.csv,1.0028742565357904,1.010942298796099
1.0025564812571277,0.0,1.017966447631125,0.0053602660896211,data2.csv,1.002883045675616,1.0165958029613038
1.002861949252381,0.0,1.0264904205266976,0.0070274892824958,data3.csv,1.0026768156563035,1.0269743171381698
1.0028977844959346,0.0,1.0349701674104321,0.0080318248770722,data4.csv,1.0024748121295508,1.034645383721431
1.0027752374060661,0.0,1.0434546018773923,0.0091233463385053,data5.csv,1.0023111206832245,1.044079155665286
1.002565254542495,0.0,1.0521510826260703,0.0108830885039611,data6.csv,1.002497316688183,1.05123393906306
1.0026853379176726,0.0,1.061003790226225,0.0119115210530546,data7.csv,1.0028764670575367,1.060749220629905
1.0029154138255114,0.0001577902691698,1.069350284136589,0.0126261485303928,data8.csv,1.0027950918935882,1.0696826308515603
1.0031291207338653,0.000504873277586,1.0779195692533432,0.013546454385871,data9.csv,1.0032003753306256,1.0785580905122196
1.0033552875667509,0.0008336629703831,1.0864447806840223,0.0152931468810486,data10.csv,1.003346054483136,1.087487846117929
1.00359099807182,0.0008459069204045,1.0951817689148788,0.0162095703382417,data11.csv,1.003675911219572,1.0938188546120091
1.0038339297784382,0.0010108987914406,1.1041682677986397,0.0177879920910191,data12.csv,1.0038431715495406,1.1032935622267916
1.00407093692576,0.0014080291665751,1.1130817958855568,0.0186079148831704,data13.csv,1.0037673308894572,1.1128329753716897
1.0041942626843985,0.0018405885246782,1.121766577944108,0.0206865213400033,data14.csv,1.0043057032309428,1.1221077090318954
1.0043079718115804,0.0018766403500345,1.130789390233886,0.0220717272298773,data15.csv,1.0045661854166712,1.1313186099129733
1.004365583473347,0.0026161654670616,1.140792166309503,0.0227429435008635,data16.csv,1.004466669406534,1.140874574067248
1.0044214172466785,0.0029927883492912,1.1496284037342177,0.0246355965210312,data17.csv,1.00427838119169,1.146344580467741
1.0044486786216478,0.0033983565010104,1.1567581336072588,0.0263792391051828,data18.csv,1.0042365558097237,1.1544925563178448
1.004399906371928,0.003905620255731,1.1611301290254605,0.0283711369263794,data19.csv,1.0044522816239043,1.163971728916913
1.0043829978005834,0.0043852237050114,1.1622087847384608,0.0277301896338291,data20.csv,1.0044029946686088,1.1684892503512838
1.0043850855161056,0.0042630713875447,1.160004484482037,0.0224768761669071,data21.csv,1.0044612049631023,1.160974932838618
1.004342091551257,0.0039590100821731,1.1545302818255267,0.0188049451279148,data22.csv,1.004339400713096,1.1542201093846864
1.004255499211391,0.0037579498705098,1.14648219052317,0.0161264746260907,data23.csv,1.0042594454516696,1.144420866705648
1.0040911632640983,0.0035720225679182,1.1369465097752895,0.0140821416407441,data24.csv,1.0041483156276896,1.1353922371203853
1.003951737956929,0.0034223820793952,1.1273252646698377,0.0122809947473891,data25.csv,1.0039125251404355,1.1265910880237706
1.0037806539543748,0.0031711434959138,1.118553802933863,0.010434058397379,data26.csv,1.0036991204773789,1.1169829932474242
1.0036110232231155,0.0030096933367715,1.1094079617711814,0.0087403767945242,data27.csv,1.003652091516018,1.111466878444153
1.0034356929640122,0.0029063449793979,1.1006322712762313,0.0081633527484734,data28.csv,1.003365373578213,1.10166900292903
1.0032675924591161,0.0025897780797415,1.0918118518575988,0.0058752790295216,data29.csv,1.0033836878691351,1.0914932339988588
1.003078433750462,0.0023567419249247,1.0832028376902267,0.0058474543380611,data30.csv,1.0030307259391995,1.0823767635467538
1.0028420869600871,0.0020988331653658,1.074516941512718,0.0045297023978643,data31.csv,1.0028671988256848,1.0727915108972446
1.0025804585605602,0.0021487028123608,1.0652332311860309,0.0042948581991822,data32.csv,1.002682293952999,1.066220721389135
1.002337823681397,0.001611493308337,1.0567245050738188,0.0026490345155552,data33.csv,1.0024281706242444,1.0574991479138809
1.0021496972162807,0.00138956667188,1.0482376345425075,0.0021736491597022,data34.csv,1.002082321740421,1.0492483794062624
1.0020458398395258,0.0012447081113154,1.039679107021541,0.0012273668955176,data35.csv,1.0019489911315598,1.0387536800156068
1.0020560122254476,0.0009383173234981,1.0309554099403646,0.000617567520213,data36.csv,1.0020493693683286,1.0292861594299103
1.002209975048362,0.0004767165991772,1.0219730307284236,0.0,data37.csv,1.002255945305506,1.0231053134054662
