,lamx,lamy,Px,Py,experiment_type,P11_model,P22_model
22,1.0079389661044518,1.007613535236211,0.0,0.0,100_075,7.244147e-05,0.029667456
23,1.0099451809799844,1.007687472443799,0.0,0.0009533589772292,100_075,0.00010129816,0.029996352
24,1.0141958844849337,1.0086352453494265,0.0011545767952838,0.0092419104404508,100_075,0.00021109771,0.033939406
25,1.020270226876906,1.010396754854288,0.0021419086995269,0.0154833450540387,100_075,0.0005019467,0.041438874
26,1.027316063234209,1.0125840221980291,0.0029472165675024,0.0218104429972146,100_075,0.0010969942,0.051148728
27,1.0343177875195022,1.0142761953224473,0.0038842380355391,0.0296941482689963,100_075,0.0019785226,0.05922459
28,1.041175577044176,1.016276245769511,0.004996509582381,0.0393215709775645,100_075,0.0032603957,0.06916304
29,1.048702791392318,1.017956533740584,0.0061480207581798,0.0488759749177468,100_075,0.005085736,0.07843536
30,1.0561270820273674,1.01973281622672,0.0077432950140392,0.0591869304608619,100_075,0.007477479,0.08886514
31,1.0638956530587174,1.0215637007783571,0.009808544060057,0.0702375204264937,100_075,0.010658508,0.1005401
32,1.0721655242496169,1.0234963825977403,0.0120033433963129,0.0844534256719704,100_075,0.01489552,0.114001185
33,1.0797650658237794,1.0250487703383218,0.0143785683409851,0.1014624352230917,100_075,0.019528145,0.1263203
34,1.0875591955405906,1.0266950814736582,0.0175697313840639,0.1200453666592436,100_075,0.025197977,0.1403826
35,1.0951143739439808,1.0284722918024225,0.0213772312992436,0.1389410180663672,100_075,0.03175855,0.15622854
36,1.102385439822108,1.030367367619452,0.0257110432951138,0.1628384284407897,100_075,0.039196026,0.17381665
37,1.1100912718950444,1.0324573843832825,0.0308859110657736,0.1897861909316716,100_075,0.048312485,0.1944915
38,1.1186032436246276,1.0356063498868104,0.0373194019273303,0.2202499414903388,100_075,0.060852263,0.2246262
39,1.1266033718680937,1.038579767946839,0.0455231048140534,0.2572642536672396,100_075,0.07446508,0.25558937
40,1.132763568520769,1.0411865698671998,0.05624358975734,0.3015684342260692,100_075,0.08669682,0.28341037
41,1.136527985310615,1.042829563513842,0.0693975905359528,0.3532864410431992,100_075,0.09487387,0.30165797
42,1.1374744835137771,1.0431997468513443,0.0815828761577553,0.3977266403126215,100_075,0.096938506,0.30605468
