# Xlam,PX1,Ylam,PY1,cycle_number,PX,PY
1.0001364307397231,0.0001986443308642,1.0004857819962167,0.0037559817716403,0,9.93221654321e-05,0.00187799088582015
1.0077365422315872,0.0026758674300628,1.0054495862999018,0.0240482831508987,0,0.0013379337150314,0.01202414157544935
1.014899640424646,0.0048492475625128,1.0095557532932409,0.0388898915416276,0,0.0024246237812564,0.0194449457708138
1.0217109796474306,0.0064674706270914,1.0129807375510296,0.0508936208095781,0,0.0032337353135457,0.02544681040478905
1.0282558142284712,0.0077273877814332,1.0159009936480627,0.0638840585044506,0,0.0038636938907166,0.0319420292522253
1.034619398496301,0.0094559782898403,1.0184929761591377,0.079789092449748,0,0.00472798914492015,0.044253742027423146
1.0406672520167106,0.011362086307661,1.0209327849511671,0.0997394648678448,0,0.006118930867988049,0.0591037020110131
1.0469872020228308,0.0137192543608161,1.0234482677234813,0.1221463105387356,0,0.007825179891272899,0.07517298785563915
1.0534332776561028,0.016362248004409,1.0263488342693838,0.1469462069120836,0,0.00963649079843465,0.0911321142065376
1.0604454507405268,0.0201641947878611,1.0293498616389387,0.1755451245978701,0,0.0122781945399816,0.11194409192389515
1.068130176984725,0.024577451234525,1.0330102296451704,0.2061820536062503,0,0.015545185173251,0.13613792901584476
1.0753443463397836,0.029128413185261,1.0363682249332271,0.2432968420020335,0,0.0189179637984354,0.1653714078759159
1.0825421753188194,0.0350631956213525,1.040070238451394,0.2825583354790372,0,0.023410525600397,0.19834509699704356
1.0895754326684015,0.0422114489734169,1.0439506972528485,0.3235480737812304,0,0.02903683249771725,0.2348315705436828
1.0965475974782375,0.0501897100378718,1.0480144822285489,0.3714200603350571,0,0.03554824652923615,0.27736367909972615
1.1040588629722758,0.0601919468980435,1.0527926820425453,0.4242568592746717,0,0.0441452832368529,0.3265962470263182
1.1112365256680243,0.0714517138294257,1.0577105882532027,0.4790730030619634,0,0.05420886975763285,0.3823085476758129
1.1181918881741706,0.084919779181463,1.0623430220679533,0.5379616136787274,0,0.06697495556888534,0.4461677640211638
1.1234922579948536,0.0998361126830041,1.0662873878748635,0.5969340047428291,0,0.08240337638592596,0.5160316900716042
1.1267063955763856,0.1157292968198954,1.0687961736726963,0.658257257446524,0,0.10196934475799971,0.5998136920549877
