# Xlam,PX,Ylam,PY,cycle_number,PX_mean,PY_mean
1.0018839982093637,9.936422881611764e-05,1.0,4.981322922472269e-05,0,4.968211440805882e-05,2.4906614612361346e-05
1.0132477818839336,0.0028135227752187,1.0,0.0004455031104932,0,0.00140676138760935,0.0002227515552466
1.023159860517436,0.0050133732436994,1.0,0.0004753695708294,0,0.0025066866218497,0.0002376847854147
1.0319213555271889,0.0068977640226102,1.0,0.0007655021298112,0,0.0034488820113051,0.0003827510649056
1.0398333883305095,0.0085164422576863,1.0,0.0013068095705587,0,0.00425822112884315,0.00065340478527935
1.0471970803447173,0.0100452426086193,1.0,0.0018992143282777,0,0.0100452426086193,0.0018992143282777
1.0542118992941192,0.0117974647267523,1.0,0.0014978925419506,1,0.00589873236337615,0.0007489462709753
1.0618337168220862,0.0133603788326244,1.0,0.0017598408617139,1,0.0066801894163122,0.00087992043085695
1.0698349299027694,0.015408625020072,1.0,0.0020114137971284,1,0.007704312510036,0.0010057068985642
1.0774163924937057,0.0173260796218126,1.0,0.0025967451901409,1,0.0086630398109063,0.00129837259507045
1.0857334464211004,0.0191903579689356,1.0,0.0021464494116729,1,0.0095951789844678,0.00107322470583645
1.0933843491720427,0.0217434044489905,1.0,0.0027104999621424,1,0.01087170222449525,0.0013552499810712
1.1013476315820436,0.0242691371457686,1.0,0.0039312153835824,1,0.0121345685728843,0.0019656076917912
1.109406337137761,0.0267143500097554,1.0,0.0031256194136122,1,0.0133571750048777,0.0015628097068061
1.1175022555242409,0.0295126113713656,1.0,0.0037668220169596,1,0.0147563056856828,0.0018834110084798
1.1261121770056497,0.0324843175915516,1.0,0.0052022989017405,1,0.0162421587957758,0.00260114945087025
1.1358962377436772,0.0358843780351794,1.0,0.0046469441054782,1,0.0179421890175897,0.0023234720527391
1.1449210755743255,0.0396379951075018,1.0,0.0065443707798422,1,0.0198189975537509,0.0032721853899211
1.151808822949693,0.0432251536179088,1.0,0.0067174999611485,1,0.0432251536179088,0.0067174999611485
1.1558397157387903,0.0474944353636461,1.0,0.0078453073649832,2,0.03070417627786525,0.0069128554122399495
1.1568789221344395,0.0476356448978304,1.0,0.0090988415244917,2,0.0083805079475705,0.00304660616296105
1.154036511111022,0.0371450246637428,1.0,0.0081159753157948,2,0.00998610324337885,0.00346224042144795
1.1478959105252151,0.0298537086100145,1.0,0.0074607691244979,2,0.0120170545196714,0.0034382355263042
1.1395074148073496,0.0240341090393428,1.0,0.0068764710526084,2,0.01492685430500725,0.00373038456224895
1.130124737678359,0.0199722064867577,1.0,0.0069244808428959,2,0.0185725123318714,0.0040579876578974
1.1207105108213553,0.016761015895141,1.0,0.0060932123259221,2,0.0476356448978304,0.0090988415244917
1.104022425342532,0.0112490107788314,1.0,0.0052589169111047,3,0.00466043979443875,0.00236993963427025
1.0959606925766536,0.0093208795888775,1.0,0.0047398792685405,3,0.0112490107788314,0.0052589169111047
1.087906039004208,0.0074727166890742,1.0,0.0047998881879574,4,0.0029171763007738,0.00240076945937525
1.0797997356845817,0.0058343526015476,1.0,0.0048015389187505,4,0.0074727166890742,0.0047998881879574
1.0712210404353348,0.0043696324471488,1.0,0.0038238214977256,5,0.0,0.0011936968424306
1.0631805403763714,0.0029565608981789,1.0,0.0041366392880097,5,0.0,0.00158972406878515
1.0552862396583915,0.0019002259904907,1.0,0.0038419788189478,5,0.0,0.00153330456805
1.047500734900746,0.0009700727720021,1.0,0.0034581353586645,5,0.00048503638600105,0.00172906767933225
1.039808210336551,0.0,1.0,0.0030666091361,5,0.00095011299524535,0.0019209894094739
1.0321928501989224,0.0,1.0,0.0031794481375703,5,0.00147828044908945,0.00206831964400485
1.024638838720977,0.0,1.0,0.0023873936848612,5,0.0043696324471488,0.0038238214977256
