# Xlam,PX1,Ylam,PY1,experiment_type,PX,PY
1.0009240206508772,0.0014670586643366,1.000805674876024,0.0193296189539698,0,0.0007335293321683,0.0096648094769849
1.0081103159440463,0.0040982393573677,1.0049449465141174,0.0397730961343226,0,0.00204911967868385,0.0198865480671613
1.015075714518392,0.0061234822819254,1.0083288622609845,0.0537468068609982,0,0.0030617411409627,0.0268734034304991
1.021883283463122,0.0077675068606057,1.0111383153831766,0.0677279308087198,0,0.00388375343030285,0.035086913330376356
1.0285960898674444,0.0093977346493392,1.0135541991472448,0.0832236806191591,0,0.0046988673246696,0.0468548107594231
1.0352772008205693,0.0113341891313989,1.015757406819742,0.1026363969594491,0,0.0058798312087466505,0.06096937519722915
1.0418974751913856,0.0139767528771925,1.0178671248694269,0.1239457527558468,0,0.00789006816936845,0.07676883770938545
1.0488505248813362,0.0166026577702874,1.0205300244877262,0.1472264460879903,0,0.00966111452815475,0.09245201829119129
1.056083436291308,0.0198590664996869,1.0233922788910066,0.1742439569773849,0,0.011862224811677601,0.11058648052722195
1.063333099539402,0.0239239807905652,1.0264976160718076,0.2056417305769697,0,0.0147105144342932,0.13355897773263445
1.0702420556245815,0.0284316515071085,1.029491019260823,0.2387861280307963,0,0.0180006907970723,0.1591470068174312
1.077425032379267,0.0334632096530624,1.0328068403631572,0.2762715975689168,0,0.021490825395597348,0.18975148038245085
1.0842369064109136,0.0401659573116771,1.0366216125456216,0.3164646305764709,0,0.0264614360266673,0.2227800161223866
1.091377549893928,0.0475805225857604,1.0407407125994053,0.3600346318734124,0,0.0325007696326124,0.26057273588166197
1.0978288225784256,0.0560161531375077,1.0449704438476624,0.4074951310857647,0,0.03931665961515255,0.3033413023560836
1.1043518118034483,0.0663630854361197,1.0496383347520055,0.4589714498202647,0,0.0479675819582963,0.35307147270038336
1.1116942258110822,0.0781269222400179,1.0550364830934278,0.5115981286913709,0,0.058663028213241444,0.4076579683121519
1.118357047279156,0.0913343288135797,1.0602174302209575,0.5702882353029074,0,0.07151281527626495,0.47091388970841797
1.1237303336313007,0.1063535700835848,1.0644318141524942,0.6305319610504028,0,0.0878271548389573,0.5435747812566454
1.1264869542973552,0.122043911613362,1.0666115583969669,0.6864570866876446,0,0.10733181454424635,0.6258142590224076
1.127191114857829,0.1244509887618443,1.0668643750471696,0.691200794781057,0,0.1244509887618443,0.691200794781057
1.0074968253631682,0.0,1.008528503490073,0.0,1,0.0,0.0
1.0079389661044518,0.0,1.007613535236211,0.0,2,0.0,0.0
1.0099451809799844,0.0,1.007687472443799,0.0019067179544585,2,0.0,0.00095335897722925
1.0141958844849337,0.0023091535905676,1.0086352453494265,0.0184838208809017,2,0.0011545767952838,0.00924191044045085
1.020270226876906,0.0042838173990538,1.010396754854288,0.0309666901080775,2,0.0021419086995269,0.01548334505403875
1.027316063234209,0.0058944331350048,1.0125840221980291,0.0411554375207617,2,0.0029472165675024,0.021810442997214602
1.0343177875195022,0.0077684760710783,1.0142761953224473,0.0493659749332932,2,0.00388423803553915,0.029694148268996398
1.041175577044176,0.0091245329703633,1.016276245769511,0.0603054683488011,2,0.00499650958238105,0.0393215709775645
1.048702791392318,0.0106161356192547,1.017956533740584,0.070923010663749,2,0.0061480207581798,0.0488759749177468
1.0561270820273674,0.0128513628124705,1.01973281622672,0.0846940809118113,2,0.0077432950140392505,0.0591869304608619
1.0638956530587174,0.0152827420810496,1.0215637007783571,0.1000824000046723,2,0.00980854406005705,0.0702375204264937
1.0721655242496169,0.0180147256958177,1.0234963825977403,0.1190799809888855,2,0.0120033433963129,0.0844534256719704
1.0797650658237794,0.0211646999174211,1.0250487703383218,0.1399358964387963,2,0.01437856834098515,0.1014624352230917
1.0875591955405906,0.0252386886044424,1.0266950814736582,0.1606929672672559,2,0.0175697313840639,0.1200453666592436
1.0951143739439808,0.0295713669082272,1.0284722918024225,0.1796037342096109,2,0.0213772312992436,0.13894101806636722
1.102385439822108,0.0346971674150162,1.030367367619452,0.2031213526131204,2,0.0257110432951138,0.1628384284407897
1.1100912718950444,0.0407882307458489,1.0324573843832825,0.2334173638585124,2,0.03088591106577365,0.1897861909316716
1.1186032436246276,0.0478773849182272,1.0356063498868104,0.2660561875773371,2,0.0373194019273303,0.22024994149033886
1.1266033718680937,0.0560828093852564,1.038579767946839,0.3007003741676072,2,0.04552310481405345,0.25726425366723965
1.132763568520769,0.0662699578829308,1.0411865698671998,0.3393486312000182,2,0.05624358975734005,0.30156843422606927
1.136527985310615,0.0775703483063471,1.042829563513842,0.3806248533290897,2,0.06939759053595285,0.3532864410431992
1.1374744835137771,0.0815828761577553,1.0431997468513443,0.3977266403126215,2,0.0815828761577553,0.3977266403126215
1.0109447648974204,0.0,1.0097465433400543,0.0,3,0.0,0.0
1.0099666302017407,0.0,1.009913302099832,0.0,4,0.0,0.0
1.0106773465812666,0.0,1.0109818836471998,0.0078241241025855,4,0.0,0.00391206205129275
1.013097494754136,0.0003929841754341,1.0130343573388565,0.025636659513509,4,0.00019649208771705,0.0128183297567545
1.017192269865682,0.0023174587720498,1.015559688391458,0.0398608795201252,4,0.0011587293860249,0.0199304397600626
1.0216482415266226,0.0037904366892549,1.017856777016438,0.0518379476441823,4,0.00189521834462745,0.02840966667399935
1.0262728518944702,0.0049779561247622,1.0197348957796415,0.0661759525578448,4,0.0024889780623811,0.04022478948528975
1.031058127198211,0.0064094607137864,1.021481732835663,0.0842454344291342,4,0.0033883014744086003,0.05404002252207395
1.0361561915491595,0.0081003035914818,1.0231917599531926,0.1044105475030409,4,0.00478325474930165,0.06922019814228855
1.0413143371714682,0.0100158525717015,1.0251012217054996,0.1287109755971509,4,0.006162183516259001,0.0853725085468762
1.0464875536222065,0.0122674474288328,1.0273890755670614,0.1561961288100276,4,0.0077780339735795,0.1054051814467724
1.051765260329746,0.0146908795297684,1.0301520559060524,0.1881202277105355,4,0.0096290083021436,0.12987646854880594
1.057214156260743,0.0179237862870967,1.0334489644862592,0.2243359169516064,4,0.01203306436940795,0.1590014972418631
