# Xlam,PX1,Ylam,PY1,cycle_number,PX,PY
1.0013796447813808,0.0,1.0002753734694994,0.0039115037158774,0,0.0,0.0019557518579387
1.0103193117798548,0.002202195568905,1.003261673367139,0.0138745379680687,0,0.0011010977844525,0.00693726898403435
1.0186472392099382,0.0042882568387051,1.005657444360292,0.0241649409322258,0,0.00214412841935255,0.0120824704661129
1.0264849919131678,0.0057792373000417,1.0075805158285691,0.0312217280155994,0,0.00288961865002085,0.0156108640077997
1.03395413473108,0.0073397318850143,1.00914871715158,0.0367775538049498,0,0.00366986594250715,0.020306440216159398
1.0411762325052136,0.0090283915423283,1.0104798777089357,0.0421288831795881,0,0.00451419577116415,0.0262828017529668
1.0478647967726582,0.0108682319953165,1.0117125757881564,0.0473459224232926,0,0.00579366328810715,0.03124440212563525
1.0557222253213427,0.0124757965084763,1.0132097736655887,0.053292055640058,0,0.00696390525123735,0.03690959217836165
1.0630144069448215,0.014119465175845,1.0145990733156292,0.0597995679116455,0,0.00841138510037615,0.043085287470521746
1.0709126651946923,0.0161768643744258,1.0160132579194583,0.0671596940431064,0,0.0101762482512569,0.04910336795003975
1.0786099262216438,0.01854731774194,1.0173049980322746,0.0769664616596905,0,0.01194736724205955,0.056220414218698
1.085424644203941,0.0213468904545837,1.0182292052746156,0.0875084436978823,0,0.014248264605789351,0.06469284376667289
1.0928850704335875,0.0247182233595914,1.0193704305570228,0.0973727254079263,0,0.0171078048354353,0.07336842100672525
1.1003632068068194,0.0285036737852032,1.0204361927521863,0.1105198251562347,0,0.0203487736739512,0.08599403045464815
1.108005976635433,0.0323068031005753,1.021587326787538,0.1229283233248153,0,0.02347927501081335,0.09619723682929375
1.115274457696568,0.0370157647610806,1.0226736856606888,0.1369920809139995,0,0.0279349176821063,0.11203208960335034
1.1238077990047954,0.042293433888895,1.0242018505974233,0.1540013365679875,0,0.03292366963726415,0.12935177472573045
1.1321451748192195,0.0478450613108047,1.0256629225066602,0.1695621127828201,0,0.0386687087050705,0.14723734325506105
1.138752457676652,0.0554318284704671,1.026755070143664,0.1899499807603118,0,0.0468426331209459,0.17149760970516104
1.142957214179521,0.0634111647801751,1.0273109978558104,0.2107618421229126,0,0.056327095019335846,0.1968165487435807
