# Xlam,PX1,Ylam,PY,cycle_number,PX,PY_mean
1.0,0.0,1.000751781249157,0.005050022454006,0,0.0024930441894995,0.08031647666266574
1.0,0.0004416655318316,1.0053592552870498,0.0240835260859128,0,0.0025012088689176504,0.07670486525427095
1.0,0.0011479185121273,1.009259510716357,0.0385357277522354,0,0.00254749546146165,0.0722786557487423
1.0,0.0016421018063153,1.012606568542164,0.0512506758891118,0,0.00260243268356,0.04249299069671365
1.0,0.0019538441860551,1.0155544497695592,0.0659401893598767,0,0.00287692209302755,0.03297009467993835
1.0,0.0025960486536712,1.0182571754036307,0.0849859813934273,0,0.003121018063153,0.0512506758891118
1.0,0.0062755939942574,1.0300791806251863,0.1828820035302642,1,0.0041698107310087495,0.10014752434796151
1.0,0.0075442309131368,1.0332608783495738,0.2155597648362748,1,0.00484423224547465,0.12023085258417054
1.0,0.0090490586015333,1.0367835290642002,0.2516239049365283,1,0.0056817145892063495,0.14324716028528
1.0,0.0107633364315065,1.040603069787359,0.2870974768426328,1,0.006817366874688851,0.16839505280883
1.0,0.0127646070830036,1.044749286355919,0.3270620594231153,1,0.00814761175365625,0.19763138947565945
1.0,0.0148247364268039,1.0492895254381016,0.3715764042963524,1,0.0095790005431859,0.23171524695433857
1.0,0.0174838926753154,1.0537778882019484,0.4189441629080156,1,0.01147683339002415,0.2686555015408891
1.0,0.0203567324167291,1.0590500201352295,0.4665187718162316,1,0.013591596684998802,0.30709232607575276
1.0,0.0233111067700728,1.0642009490985405,0.5165852291716194,1,0.01580439896181685,0.3505651644541655
1.0,0.0270267232150663,1.0682983483131454,0.5711058604573296,1,0.01877820841379645,0.4001429234605299
1.0,0.0308392519441178,1.0706503010950494,0.6226290492316688,1,0.02198346212181095,0.45171322168089834
1.0,0.0319999296827203,1.0709385954931612,0.6297543448625089,1,0.0231446305113164,0.17232236068159
