,lamx,lamy,Px,Py,experiment_type,P11_model,P22_model
89,tensor(1.0103),tensor(1.0118),tensor(0.),tensor(0.0036),050_100,0.7805769,0.79959977
90,tensor(1.0106),tensor(1.0137),tensor(0.),tensor(0.0127),050_100,0.7905663,0.813911
91,tensor(1.0127),tensor(1.0159),tensor(0.0002),tensor(0.0201),050_100,0.8148395,0.8389313
92,tensor(1.0154),tensor(1.0182),tensor(0.0007),tensor(0.0273),050_100,0.8438382,0.86750245
93,tensor(1.0182),tensor(1.0203),tensor(0.0012),tensor(0.0395),050_100,0.87278277,0.89523315
94,tensor(1.0211),tensor(1.0220),tensor(0.0020),tensor(0.0520),050_100,0.90172786,0.9211294
95,tensor(1.0240),tensor(1.0237),tensor(0.0029),tensor(0.0675),050_100,0.93014306,0.94651407
96,tensor(1.0272),tensor(1.0255),tensor(0.0037),tensor(0.0836),050_100,0.96213853,0.97477674
97,tensor(1.0305),tensor(1.0277),tensor(0.0049),tensor(0.1028),050_100,0.9965223,1.0062757
98,tensor(1.0343),tensor(1.0305),tensor(0.0066),tensor(0.1259),050_100,1.0383863,1.0453156
99,tensor(1.0376),tensor(1.0335),tensor(0.0085),tensor(0.1531),050_100,1.0778153,1.0841854
100,tensor(1.0409),tensor(1.0368),tensor(0.0107),tensor(0.1843),050_100,1.1190469,1.1259528
101,tensor(1.0442),tensor(1.0409),tensor(0.0134),tensor(0.2188),050_100,1.1659017,1.1756353
102,tensor(1.0477),tensor(1.0452),tensor(0.0166),tensor(0.2578),050_100,1.2150683,1.2283423
103,tensor(1.0512),tensor(1.0501),tensor(0.0201),tensor(0.3021),050_100,1.268792,1.2873707
104,tensor(1.0547),tensor(1.0554),tensor(0.0247),tensor(0.3510),050_100,1.3255084,1.3511125
105,tensor(1.0582),tensor(1.0604),tensor(0.0303),tensor(0.4048),050_100,1.3817115,1.4140567
106,tensor(1.0609),tensor(1.0646),tensor(0.0368),tensor(0.4692),050_100,1.4278691,1.466465
107,tensor(1.0627),tensor(1.0671),tensor(0.0454),tensor(0.5442),050_100,1.4569006,1.4992434
108,tensor(1.0634),tensor(1.0679),tensor(0.0522),tensor(0.6052),050_100,1.4675997,1.5105233
