,lamx,lamy,Px,Py,experiment_type,P11_model,P22_model
22,tensor(1.0079),tensor(1.0076),tensor(0.),tensor(0.),100_075,0.98188967,1.0004153
23,tensor(1.0099),tensor(1.0077),tensor(0.),tensor(0.0010),100_075,0.9919951,1.0051483
24,tensor(1.0142),tensor(1.0086),tensor(0.0012),tensor(0.0092),100_075,1.0153031,1.0192509
25,tensor(1.0203),tensor(1.0104),tensor(0.0021),tensor(0.0155),100_075,1.0499736,1.041718
26,tensor(1.0273),tensor(1.0126),tensor(0.0029),tensor(0.0218),100_075,1.0912894,1.0689658
27,tensor(1.0343),tensor(1.0143),tensor(0.0039),tensor(0.0297),100_075,1.1321275,1.0940549
28,tensor(1.0412),tensor(1.0163),tensor(0.0050),tensor(0.0393),100_075,1.1738563,1.1209939
29,tensor(1.0487),tensor(1.0180),tensor(0.0061),tensor(0.0489),100_075,1.2195386,1.1484954
30,tensor(1.0561),tensor(1.0197),tensor(0.0077),tensor(0.0592),100_075,1.2661004,1.1770188
31,tensor(1.0639),tensor(1.0216),tensor(0.0098),tensor(0.0702),100_075,1.3161306,1.2075939
32,tensor(1.0722),tensor(1.0235),tensor(0.0120),tensor(0.0845),100_075,1.3709917,1.241127
33,tensor(1.0798),tensor(1.0250),tensor(0.0144),tensor(0.1015),100_075,1.4223514,1.2716835
34,tensor(1.0876),tensor(1.0267),tensor(0.0176),tensor(0.1200),100_075,1.476801,1.3044232
35,tensor(1.0951),tensor(1.0285),tensor(0.0214),tensor(0.1389),100_075,1.5317883,1.3383949
36,tensor(1.1024),tensor(1.0304),tensor(0.0257),tensor(0.1628),100_075,1.5869429,1.3734063
37,tensor(1.1101),tensor(1.0325),tensor(0.0309),tensor(0.1898),100_075,1.6475556,1.4124064
38,tensor(1.1186),tensor(1.0356),tensor(0.0373),tensor(0.2202),100_075,1.719843,1.4628379
39,tensor(1.1266),tensor(1.0386),tensor(0.0455),tensor(0.2573),100_075,1.7904869,1.5124371
40,tensor(1.1328),tensor(1.0412),tensor(0.0562),tensor(0.3016),100_075,1.8479307,1.5543306
41,tensor(1.1365),tensor(1.0428),tensor(0.0694),tensor(0.3533),100_075,1.8840854,1.5809989
42,tensor(1.1375),tensor(1.0432),tensor(0.0816),tensor(0.3977),100_075,1.8931122,1.5874854
