file,frame,cell,x,y,F_AniFEM_xx,F_AniFEM_xy,F_AniFEM_yx,F_AniFEM_yy,C_xx,C_yy,C_xy,PK2_xx,PK2_yy,PK2_xy,xi1,xi2,xi3,dpsidksi1,dpsidksi2,dpsidksi3,dpsidksi1_Sxy0,dpsidksi2_Sxy0,dpsidksi3_Sxy0
0_1_stretch1_01_txt.vtk,0,400,-0.267106,-3.459865,0.994014,-2.5e-05,-0.000338,-1.019463,0.988065,1.039305,0.00032,0.006238,0.027238,0.000131,-0.006003,0.019276,0.000324,0.006163,0.028308,0.000138,0.006163,0.028308,9e-06
0_1_stretch1_01_txt.vtk,0,401,-0.469182,-3.269923,0.993989,-4.9e-05,-0.000391,-1.019512,0.988015,1.039404,0.000349,0.006235,0.027295,0.000143,-0.006029,0.019324,0.000354,0.006161,0.02837,0.000151,0.006161,0.02837,1e-05
0_1_stretch1_01_txt.vtk,0,403,0.365125,-4.026016,0.994089,5.5e-05,0.000356,-1.019535,0.988212,1.039451,-0.000308,0.006425,0.027412,-0.000126,-0.005929,0.019346,-0.000312,0.006349,0.028493,-0.000133,0.006349,0.028493,-8e-06
0_1_stretch1_01_txt.vtk,0,404,-3.439511,-1.927433,0.995225,1.8e-05,-0.002291,-1.017512,0.990477,1.035331,0.002349,0.006678,0.025112,0.000965,-0.004784,0.017358,0.002371,0.006619,0.026,0.001015,0.006615,0.026,5.9e-05
0_1_stretch1_01_txt.vtk,0,417,3.274592,0.285243,0.995196,-3.6e-05,-0.000427,-1.017499,0.990415,1.035304,0.000398,0.006618,0.02507,0.000164,-0.004816,0.017348,0.000402,0.006555,0.025955,0.000172,0.006555,0.025955,1e-05
0_1_stretch1_01_txt.vtk,0,418,-0.744851,-3.35989,0.994043,-6.4e-05,-0.000813,-1.019397,0.988123,1.039169,0.000765,0.006232,0.027155,0.000314,-0.005974,0.019211,0.000774,0.006158,0.028219,0.000331,0.006158,0.028219,2.1e-05
0_1_stretch1_01_txt.vtk,0,420,0.49054,-3.470029,0.994011,2.6e-05,0.000522,-1.019578,0.988057,1.039539,-0.000507,0.006327,0.027417,-0.000208,-0.006007,0.019388,-0.000513,0.006252,0.028501,-0.000219,0.006251,0.028501,-1.4e-05
0_1_stretch1_01_txt.vtk,0,423,-0.947935,-3.169161,0.994038,-6.8e-05,-0.000811,-1.019395,0.988113,1.039166,0.000759,0.006222,0.027149,0.000311,-0.005979,0.019209,0.000768,0.006149,0.028212,0.000328,0.006148,0.028212,2.1e-05
0_1_stretch1_01_txt.vtk,0,425,0.639977,-3.936156,0.994068,6.2e-05,0.00074,-1.019665,0.988171,1.039716,-0.000692,0.006498,0.027601,-0.000283,-0.00595,0.019473,-0.0007,0.006421,0.028697,-0.000299,0.006421,0.028697,-1.9e-05
0_1_stretch1_01_txt.vtk,0,426,2.467366,0.019788,0.994638,-3.7e-05,-0.000108,-1.018227,0.989306,1.036787,7.3e-05,0.006273,0.025779,3e-05,-0.005376,0.018063,7.4e-05,0.006206,0.026727,3.2e-05,0.006206,0.026727,2e-06
0_1_stretch1_01_txt.vtk,0,427,0.008801,-3.369606,0.993982,-1.6e-05,5.4e-05,-1.019571,0.988,1.039524,-7.1e-05,0.006271,0.027382,-2.9e-05,-0.006037,0.019382,-7.2e-05,0.006196,0.028464,-3.1e-05,0.006196,0.028464,-2e-06
0_1_stretch1_01_txt.vtk,0,428,-3.671932,-3.035559,0.99524,8.7e-05,-0.00335,-1.017571,0.990513,1.03545,0.003495,0.006753,0.025216,0.001436,-0.004766,0.017412,0.003528,0.006698,0.026109,0.00151,0.006688,0.026109,8.8e-05
0_1_stretch1_01_txt.vtk,0,430,-3.644135,-4.057215,0.995076,-0.000188,-0.004757,-1.01804,0.990199,1.036405,0.004656,0.006867,0.025829,0.001911,-0.004925,0.017868,0.004703,0.006817,0.026769,0.002012,0.006799,0.026769,0.00012
0_1_stretch1_01_txt.vtk,0,431,-3.371852,-3.967834,0.994918,-0.000141,-0.00391,-1.018289,0.989876,1.036912,0.003842,0.006803,0.026099,0.001576,-0.005088,0.018116,0.003881,0.006746,0.027062,0.00166,0.006734,0.027062,0.0001
0_1_stretch1_01_txt.vtk,0,433,0.671352,-4.956709,0.994288,0.000171,0.000812,-1.019671,0.988609,1.039729,-0.000658,0.00688,0.027791,-0.000269,-0.005728,0.01948,-0.000665,0.006802,0.028895,-0.000284,0.006802,0.028895,-1.8e-05
0_1_stretch1_01_txt.vtk,0,443,2.125027,-1.640035,0.994426,-2.9e-05,0.001042,-1.018642,0.988883,1.037632,-0.001091,0.006256,0.026266,-0.000448,-0.005589,0.01847,-0.001103,0.006187,0.027255,-0.000471,0.006186,0.027255,-2.9e-05
0_1_stretch1_01_txt.vtk,0,445,-3.497958,-2.204421,0.995202,0.000126,-0.002302,-1.017458,0.990433,1.03522,0.002468,0.006594,0.025007,0.001014,-0.004807,0.017304,0.002491,0.006536,0.025887,0.001066,0.006531,0.025887,6.2e-05
0_1_stretch1_01_txt.vtk,0,449,-3.166352,-4.157351,0.994791,-0.000257,-0.004135,-1.018495,0.989626,1.037332,0.003956,0.00676,0.026325,0.001622,-0.005214,0.018318,0.003997,0.006703,0.027308,0.00171,0.00669,0.027308,0.000104
0_1_stretch1_01_txt.vtk,0,453,0.944607,-4.866838,0.994236,0.000187,0.001263,-1.019806,0.988507,1.040003,-0.001102,0.006904,0.027962,-0.000451,-0.00578,0.019611,-0.001115,0.006825,0.02908,-0.000476,0.006824,0.02908,-3.1e-05
0_1_stretch1_01_txt.vtk,0,455,2.450179,-1.274896,0.994609,-4.9e-05,0.000924,-1.01836,0.989248,1.037058,-0.00099,0.006334,0.025967,-0.000406,-0.005405,0.018193,-0.001001,0.006267,0.026929,-0.000428,0.006266,0.026929,-2.6e-05
0_1_stretch1_01_txt.vtk,0,459,0.841145,-1.805239,0.993999,-2e-06,0.000456,-1.019205,0.988035,1.038779,-0.000467,0.005996,0.026815,-0.000192,-0.006019,0.019023,-0.000473,0.005925,0.027855,-0.000202,0.005925,0.027855,-1.3e-05
0_1_stretch1_01_txt.vtk,0,466,2.50751,-0.998316,0.994596,1.2e-05,0.000868,-1.018095,0.989222,1.036517,-0.000872,0.00609,0.025532,-0.000358,-0.005418,0.017933,-0.000882,0.006025,0.026465,-0.000377,0.006025,0.026465,-2.2e-05
0_1_stretch1_01_txt.vtk,0,467,2.180999,-1.362804,0.994416,1.5e-05,0.000988,-1.018382,0.988865,1.037102,-0.000991,0.006022,0.025844,-0.000407,-0.005599,0.018215,-0.001002,0.005956,0.026803,-0.000428,0.005955,0.026803,-2.6e-05
0_1_stretch1_01_txt.vtk,0,474,0.897161,-1.527729,0.993996,1.5e-05,0.000421,-1.019038,0.988028,1.038438,-0.000414,0.00585,0.026546,-0.00017,-0.006022,0.018859,-0.000419,0.00578,0.027567,-0.000179,0.00578,0.027567,-1.1e-05
