Xlam,PX,Ylam,PY,file,lambda_x,lambda_y,cycle_number,stress_x_mpa,stress_y_mpa
1.0,-0.0025893862865831,1.0,-0.0022380067195591,csv_0.csv,1.0,1.0,0,-0.00129469314329155,-0.00111900335977955
1.004,0.0014116278135961,1.0,-0.0022753162757985,csv_1.csv,1.0041862669563266,0.9986500685187588,0,-0.0033245528432295506,-0.0023128251543811
1.008,0.0045251300868691,1.0,-0.0025856391706251,csv_2.csv,1.0084473752254268,0.9969783739460688,0,-0.0007228274493792501,-0.0026457065412434
1.012,0.009748758054311,1.0,-0.0022690518987066,csv_3.csv,1.0127638406385524,0.9952215836199008,0,0.00340417504191005,-0.0022692894302464997
1.016,0.0133685197500122,1.0,-0.0022988914880407,csv_4.csv,1.015641316874731,0.9940787492569064,0,0.0072654467692505,-0.00238690230320105
1.02,0.0158931495979415,1.0,-0.002516791501351,csv_5.csv,1.0197849902025684,0.9934717608505717,0,0.010847274050216101,-0.00237089871915605
1.024,0.0209297011073558,1.0,-0.0021716407935464,csv_6.csv,1.0240160862199643,0.991034349659927,0,0.01479507661056805,-0.00219921183252925
1.028,0.023712650336912,1.0,-0.0023858015472845,csv_7.csv,1.0284750679293404,0.9898133685624798,0,0.01759850739311985,-0.00246215538487675
1.032,0.0284114318218533,1.0,-0.002402903818156,csv_8.csv,1.0313041167176618,0.9886817968183498,0,0.02243636202503005,-0.0023425240455905
1.036,0.0313183218406257,1.0,-0.002123983855813,csv_9.csv,1.035480312150144,0.9871060209179504,0,0.025238940167179348,-0.00213508604136405
1.04,0.0349035325602298,1.0,-0.0020911134633463,csv_10.csv,1.0397565470444528,0.985446053076252,0,0.02809943078916735,-0.00231223711898355
1.044,0.0377490461734118,1.0,-0.0022252980924788,csv_11.csv,1.0441686813034468,0.9839562014040304,0,0.03161136318658835,-0.0021988209124455997
1.048,0.0406344197701236,1.0,-0.0020813556345825,csv_12.csv,1.0481618465183256,0.9826180696376496,0,0.034922265350527004,-0.00221699386845785
1.052,0.0439962094528352,1.0,-0.0024922940266955,csv_13.csv,1.051048940409409,0.9814596392898546,0,0.0390935882770385,-0.00251552242878905
1.056,0.0480989174243594,1.0,-0.0020118651066874,csv_14.csv,1.0556493255510973,0.9799375925189102,0,0.041716534943127145,-0.0021368530442827
1.06,0.0496109826143417,1.0,-0.0020340810646939,csv_15.csv,1.0599330268335114,0.9786476460144596,0,0.044213270801632454,-0.0022695186854261003
1.064,0.0536331758224989,1.0,-0.0022605200747782,csv_16.csv,1.0642350341105251,0.9769852590538518,0,0.04765345702068125,-0.00211081920128155
1.068,0.0563122507613964,1.0,-0.002028557973604,csv_17.csv,1.0672463892473734,0.9759289609581058,0,0.05088644332085075,-0.0022392314982670504
1.072,0.0597722663050385,1.0,-0.0023905985256997,csv_18.csv,1.0718187596731483,0.9742515370583936,0,0.0537051315045398,-0.00243762204599335
1.076,0.0633754250326438,1.0,-0.002563834333152,csv_19.csv,1.076016061900607,0.972851729576138,0,0.05715085402273695,-0.0024467001710063
1.08,0.0652979727370708,1.0,-0.0021714520925321,csv_20.csv,1.0803890497175117,0.971311608349058,0,0.060164819258345756,-0.0023332339691216
1.084,0.0690596295546288,1.0,-0.0026869937468839,csv_21.csv,1.0834291747165037,0.9702964064076391,0,0.0632243688028811,-0.0026005195759479
1.088,0.0716721611213557,1.0,-0.002007894660785,csv_22.csv,1.0877390189522709,0.9688322413487904,0,0.06601501683108871,-0.0020533153259721
1.092,0.0749642880672101,1.0,-0.0022886414917193,csv_23.csv,1.0920442601908935,0.967476255104389,0,0.06936393824506565,-0.0023643059085006503
1.096,0.0764593362887652,1.0,-0.0027121872634385,csv_24.csv,1.096530724906353,0.9658078126458136,0,0.07153407896626854,-0.00243971251665935
1.1,0.0804120523999336,1.0,-0.0021695319769484,csv_25.csv,1.101038906104734,0.9643201489937292,0,0.0750022533528513,-0.00207214597674765
1.104,0.0840741648157222,1.0,-0.0022862016207103,csv_26.csv,1.104070593720984,0.963315911614876,0,0.07845152380323289,-0.0023366227708158
1.108,0.0869945210451465,1.0,-0.0024878937618161,csv_27.csv,1.1084747078641717,0.961856749924804,0,0.08132171892503215,-0.0022941781008643
1.112,0.0899609612299826,1.0,-0.0024837688238552,csv_28.csv,1.113087145868263,0.9602376578893802,0,0.08373307492334175,-0.00267438885018565
1.116,0.0926642790374263,1.0,-0.002601839379533,csv_29.csv,1.117417520551887,0.9588281668496176,0,0.08720154769526844,-0.00257742770314565
