Xlam_clamps,PX_hist,Ylam_clamps,PY_hist,file,Xlam,Ylam,cycle_number,PX,PY
1.0,-0.0006128374210041,1.0,0.0023284158676288,csv_0.csv,1.0,1.0,0,0.0,0.0
1.002,0.0021246878981937,1.002,0.0047855144226045,csv_1.csv,1.0013647207730454,1.000492635828166,0,-0.0027821674759833,-0.0009995955555265998
1.004,0.0048075293951279,1.004,0.0071431171818331,csv_2.csv,1.0031008974288125,1.0011728467578156,0,-0.0005922570309487003,0.00115874041511575
1.006,0.0071481591810973,1.006,0.0102119862137774,csv_3.csv,1.0045333502261489,1.001931092886604,0,0.00134014068235885,0.0036126032395755996
1.008,0.0101734399889038,1.008,0.0129189607167007,csv_4.csv,1.0060468990693845,1.0028914763053745,0,0.0036989564563238,0.00590669636398975
1.01,0.013021032092858,1.01,0.0151869999987629,csv_5.csv,1.0069790913012795,1.003375195163871,0,0.0062153465542015,0.00813627327598985
1.012,0.0154536533285377,1.012,0.0175162024933741,csv_6.csv,1.0083360785194715,1.0042740250480662,0,0.00842978897994755,0.010231741487388351
1.014,0.0184628631188264,1.014,0.0200405978431477,csv_7.csv,1.00951033976115,1.0049813851309937,0,0.01099987914628945,0.0125072684079803
1.016,0.02161424838683,1.016,0.0226160000892564,csv_8.csv,1.010775779723532,1.0057692704556933,0,0.013701072880964001,0.015020367500644002
1.018,0.0242664193675641,1.018,0.0251949665329986,csv_9.csv,1.01171206951677,1.0066648389730295,0,0.01619246644951445,0.0174528098455587
1.02,0.0273595349407598,1.02,0.0283615730524715,csv_10.csv,1.0130280449080111,1.007773696311607,0,0.01891854504724325,0.0200946251206402
1.022,0.0304168709808523,1.022,0.0307552162988561,csv_11.csv,1.0142778994856911,1.0086588615943974,0,0.02183936568188405,0.02247105056202675
1.024,0.0333795293217046,1.024,0.0337669593461807,csv_12.csv,1.0154875237994123,1.0098670848889966,0,0.0245207629539503,0.0250470604723029
1.026,0.0363409600024495,1.026,0.0368695299514327,csv_13.csv,1.016366729257475,1.0106662511802238,0,0.0272008249732256,0.0277132271711234
1.028,0.0394546183688941,1.028,0.0395896710917027,csv_14.csv,1.017568442050602,1.011867874282183,0,0.03021822069773175,0.030288630546632
