,lambda,P_experimental,I1,I2,F,experiment_type,P_model_brain_weightingStrainEnergyCANN_C0
0,0.9,-0.7591,3.0322222222222224,3.034567901234568,"([0.9, 0, 0], [0, 1.0540925533894598, 0], [0, 0, 1.0540925533894598])",Compression,-0.21438754
1,0.9062,-0.6657,3.028216758252041,3.0301324642750176,"([0.9062, 0, 0], [0, 1.0504804420483138, 0], [0, 0, 1.0504804420483138])",Compression,-0.19481075
2,0.9125,-0.5723,3.024437071917808,3.0259757928316757,"([0.9125, 0, 0], [0, 1.0468478451804275, 0], [0, 0, 1.0468478451804275])",Compression,-0.1761589
3,0.9187,-0.4827,3.020998913903342,3.0222205202478185,"([0.9187, 0, 0], [0, 1.0433094516736974, 0], [0, 0, 1.0433094516736974])",Compression,-0.15892798
4,0.925,-0.4127,3.017787162162162,3.0187363038714388,"([0.925, 0, 0], [0, 1.0397504898200727, 0], [0, 0, 1.0397504898200727])",Compression,-0.14246893
5,0.9313,-0.3543,3.0148553927810586,3.015577398679834,"([0.9313, 0, 0], [0, 1.0362277024817128, 0], [0, 0, 1.0362277024817128])",Compression,-0.12697929
6,0.9375,-0.2959,3.0122395833333333,3.012777777777778,"([0.9375, 0, 0], [0, 1.0327955589886446, 0], [0, 0, 1.0327955589886446])",Compression,-0.11259943
7,0.9437,-0.2453,3.0098872697393237,3.0102767509480364,"([0.9437, 0, 0], [0, 1.0293972944736458, 0], [0, 0, 1.0293972944736458])",Compression,-0.09899926
8,0.95,-0.2024,3.0077631578947366,3.00803324099723,"([0.95, 0, 0], [0, 1.0259783520851542, 0], [0, 0, 1.0259783520851542])",Compression,-0.08590364
9,0.9563,-0.1674,3.00590360404371,3.0060821259247676,"([0.9563, 0, 0], [0, 1.0225932510152094, 0], [0, 0, 1.0225932510152094])",Compression,-0.07346499
10,0.9625,-0.1305,3.004328327922078,3.0044400404790013,"([0.9625, 0, 0], [0, 1.019294382875251, 0], [0, 0, 1.019294382875251])",Compression,-0.06179833
11,0.9688,-0.104,3.0029830188604456,3.003046727322691,"([0.9688, 0, 0], [0, 1.0159747976353661, 0], [0, 0, 1.0159747976353661])",Compression,-0.05046231
12,0.975,-0.08,3.0019070512820516,3.001939513477975,"([0.975, 0, 0], [0, 1.0127393670836666, 0], [0, 0, 1.0127393670836666])",Compression,-0.0397566
13,0.9812,-0.0543,3.001073863970648,3.0010875376939707,"([0.9812, 0, 0], [0, 1.0095346512058534, 0], [0, 0, 1.0095346512058534])",Compression,-0.02944046
14,0.9875,-0.0387,3.000472705696202,3.000476686428457,"([0.9875, 0, 0], [0, 1.0063092108532552, 0], [0, 0, 1.0063092108532552])",Compression,-0.01930135
15,0.9938,-0.0193,3.0001157996297043,3.0001162807555364,"([0.9938, 0, 0], [0, 1.0031144898838078, 0], [0, 0, 1.0031144898838078])",Compression,-0.00945473
16,1.0,0.0,3.0,3.0,"([1.0, 0, 0], [0, 1.0, 0], [0, 0, 1.0])",Compression,0.0
17,1.0063,0.0157,3.0001185730368674,3.0001180776293688,"([1.0063, 0, 0], [0, 0.9968648060386293, 0], [0, 0, 0.9968648060386293])",Tensile,0.00941622
18,1.0125,0.0235,3.0004648919753087,3.0004610577655844,"([1.0125, 0, 0], [0, 0.9938079899999066, 0], [0, 0, 0.9938079899999066])",Tensile,0.01854038
19,1.0188,0.0345,3.0010472758853552,3.00103435212277,"([1.0188, 0, 0], [0, 0.9907304971296067, 0], [0, 0, 0.9907304971296067])",Tensile,0.02771056
20,1.025,0.0423,3.001844512195122,3.001814396192742,"([1.025, 0, 0], [0, 0.9877295966495897, 0], [0, 0, 0.9877295966495897])",Tensile,0.03667682
21,1.0312,0.0509,3.002861415174554,3.002803401461673,"([1.0312, 0, 0], [0, 0.9847558009919398, 0], [0, 0, 0.9847558009919398])",Tensile,0.04562455
22,1.0375,0.0572,3.0041170933734938,3.0040172739149367,"([1.0375, 0, 0], [0, 0.9817613873476319, 0], [0, 0, 0.9817613873476319])",Tensile,0.05473521
23,1.0437,0.0642,3.005569151531091,3.005412580976857,"([1.0437, 0, 0], [0, 0.9788410140393309, 0], [0, 0, 0.9788410140393309])",Tensile,0.0637559
24,1.05,0.0721,3.0072619047619047,3.00702947845805,"([1.05, 0, 0], [0, 0.9759000729485332, 0], [0, 0, 0.9759000729485332])",Tensile,0.07301241
25,1.0562,0.0791,3.009139201219466,3.008812024815123,"([1.0562, 0, 0], [0, 0.973031541425936, 0], [0, 0, 0.973031541425936])",Tensile,0.08224392
26,1.0625,0.0869,3.0112591911764706,3.0108131487889276,"([1.0625, 0, 0], [0, 0.9701425001453319, 0], [0, 0, 0.9701425001453319])",Tensile,0.09178001
27,1.0688,0.094,3.0135909250299404,3.0130011438201443,"([1.0688, 0, 0], [0, 0.9672790406676711, 0], [0, 0, 0.9672790406676711])",Tensile,0.10150403
28,1.075,0.105,3.0160901162790696,3.015332612222823,"([1.075, 0, 0], [0, 0.9644856443408243, 0], [0, 0, 0.9644856443408243])",Tensile,0.11128655
29,1.0813,0.1151,3.0188351408462033,3.0178785771045056,"([1.0813, 0, 0], [0, 0.9616718387387154, 0], [0, 0, 0.9616718387387154])",Tensile,0.12147072
30,1.0875,0.1292,3.021736709770115,3.020554234377064,"([1.0875, 0, 0], [0, 0.9589266029707684, 0], [0, 0, 0.9589266029707684])",Tensile,0.13175994
31,1.0938,0.1418,3.0248862805558607,3.0234419457651582,"([1.0938, 0, 0], [0, 0.956161032607965, 0], [0, 0, 0.956161032607965])",Tensile,0.14251238
32,1.1,0.1582,3.0281818181818183,3.0264462809917356,"([1.1, 0, 0], [0, 0.9534625892455922, 0], [0, 0, 0.9534625892455922])",Tensile,0.15341067
33,-0.2,-0.2611,3.04,3.04,"([1.0, -0.2, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,-0.12555277
34,-0.1875,-0.2227,3.03515625,3.03515625,"([1.0, -0.1875, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,-0.1148679
35,-0.175,-0.1878,3.030625,3.030625,"([1.0, -0.175, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,-0.10473315
36,-0.1625,-0.1596,3.02640625,3.02640625,"([1.0, -0.1625, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,-0.09511135
37,-0.15,-0.1347,3.0225,3.0225,"([1.0, -0.15, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,-0.08596572
38,-0.1375,-0.1133,3.01890625,3.01890625,"([1.0, -0.1375, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,-0.07725945
39,-0.125,-0.0964,3.015625,3.015625,"([1.0, -0.125, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,-0.06895567
40,-0.1125,-0.0817,3.01265625,3.01265625,"([1.0, -0.1125, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,-0.06101781
41,-0.1,-0.0681,3.01,3.01,"([1.0, -0.1, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,-0.05340918
42,-0.0875,-0.0601,3.00765625,3.00765625,"([1.0, -0.0875, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,-0.04609315
43,-0.075,-0.0488,3.005625,3.005625,"([1.0, -0.075, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,-0.03903307
44,-0.0625,-0.0409,3.00390625,3.00390625,"([1.0, -0.0625, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,-0.0321924
45,-0.05,-0.0318,3.0025,3.0025,"([1.0, -0.05, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,-0.02553456
46,-0.0375,-0.0238,3.00140625,3.00140625,"([1.0, -0.0375, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,-0.01902294
47,-0.025,-0.0159,3.000625,3.000625,"([1.0, -0.025, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,-0.01262102
48,-0.0125,-0.0079,3.00015625,3.00015625,"([1.0, -0.0125, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,-0.00629223
49,0.0,0.0,3.0,3.0,"([1.0, 0.0, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,0.0
50,0.0125,0.0079,3.00015625,3.00015625,"([1.0, 0.0125, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,0.00629223
51,0.025,0.0159,3.000625,3.000625,"([1.0, 0.025, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,0.01262102
52,0.0375,0.0238,3.00140625,3.00140625,"([1.0, 0.0375, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,0.01902294
53,0.05,0.0318,3.0025,3.0025,"([1.0, 0.05, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,0.02553456
54,0.0625,0.0409,3.00390625,3.00390625,"([1.0, 0.0625, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,0.0321924
55,0.075,0.0488,3.005625,3.005625,"([1.0, 0.075, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,0.03903307
56,0.0875,0.0601,3.00765625,3.00765625,"([1.0, 0.0875, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,0.04609315
57,0.1,0.0681,3.01,3.01,"([1.0, 0.1, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,0.05340918
