,lambda,P_experimental,I1,I2,F,experiment_type,P_model_PDMS_StrainEnergyCANN_C_0
0,0.689936,-8.963624867,3.374831284754612,3.4806607692906386,"([0.689936, 0, 0], [0, 1.2039143658621678, 0], [0, 0, 1.2039143658621678])",Compression,-88.477234
1,0.6960692,-8.356170506,3.357789873134182,3.4560693582621544,"([0.6960692, 0, 0], [0, 1.1985986696858841, 0], [0, 0, 1.1985986696858841])",Compression,-81.39401
2,0.702543,-7.731957299,3.3403675032390856,3.4311547505178233,"([0.702543, 0, 0], [0, 1.1930634594165739, 0], [0, 0, 1.1930634594165739])",Compression,-74.83374
3,0.7086762,-7.149985621,3.3243853083411414,3.4085038961943845,"([0.7086762, 0, 0], [0, 1.1878895891232277, 0], [0, 0, 1.1878895891232277])",Compression,-69.32649
4,0.71515,-6.557265158999999,3.308055617025624,3.3855653950399387,"([0.71515, 0, 0], [0, 1.1825007599417483, 0], [0, 0, 1.1825007599417483])",Compression,-64.13156
5,0.7212832,-6.037984408000001,3.293085422499454,3.36472122621612,"([0.7212832, 0, 0], [0, 1.1774625191268753, 0], [0, 0, 1.1774625191268753])",Compression,-59.703426
6,0.727757,-5.500047714,3.2778003133087927,3.3436236727752484,"([0.727757, 0, 0], [0, 1.1722137309935832, 0], [0, 0, 1.1722137309935832])",Compression,-55.472458
7,0.7342309,-4.9665374589999995,3.2630337645728638,3.323422378516958,"([0.7342309, 0, 0], [0, 1.1670344360939084, 0], [0, 0, 1.1670344360939084])",Compression,-51.63284
8,0.740364,-4.474374417,3.249512771271089,3.3050832622595703,"([0.740364, 0, 0], [0, 1.1621905865164905, 0], [0, 0, 1.1621905865164905])",Compression,-48.3086
9,0.7468379,-3.97104853,3.2357241405457264,3.2865396140012155,"([0.7468379, 0, 0], [0, 1.1571424483764556, 0], [0, 0, 1.1571424483764556])",Compression,-45.088966
10,0.752971,-3.535544819,3.223110118605889,3.2697182887049365,"([0.752971, 0, 0], [0, 1.1524202340650065, 0], [0, 0, 1.1524202340650065])",Compression,-42.280792
11,0.7594449,-3.124218029,3.210258999828765,3.252723580233928,"([0.7594449, 0, 0], [0, 1.1474978090812973, 0], [0, 0, 1.1474978090812973])",Compression,-39.542923
12,0.765578,-2.77331908,3.198514941737982,3.237321320616568,"([0.765578, 0, 0], [0, 1.1428922231894794, 0], [0, 0, 1.1428922231894794])",Compression,-37.140587
13,0.7720519,-2.437924108,3.186563557381752,3.2217756126644996,"([0.7720519, 0, 0], [0, 1.1380903788997037, 0], [0, 0, 1.1380903788997037])",Compression,-34.785606
14,0.7785257,-2.132497389,3.1750604900609787,3.2069379898071757,"([0.7785257, 0, 0], [0, 1.1333486278503382, 0], [0, 0, 1.1333486278503382])",Compression,-32.59762
15,0.7846589,-1.8704313989999999,3.164567834405756,3.193512877030635,"([0.7846589, 0, 0], [0, 1.1289105910249373, 0], [0, 0, 1.1289105910249373])",Compression,-30.6637
16,0.7911327,-1.6275122590000002,3.1539118486636712,3.1799878172723375,"([0.7911327, 0, 0], [0, 1.1242821931468945, 0], [0, 0, 1.1242821931468945])",Compression,-28.755165
17,0.7972659,-1.443664153,3.1442062783426694,3.167766879438277,"([0.7972659, 0, 0], [0, 1.119949410250271, 0], [0, 0, 1.119949410250271])",Compression,-27.061457
18,0.8037397,-1.287987868,3.1343653189653966,3.1554729939516903,"([0.8037397, 0, 0], [0, 1.1154299201674005, 0], [0, 0, 1.1154299201674005])",Compression,-25.383663
19,0.8098729,-1.156705447,3.125417418366713,3.1443821375119123,"([0.8098729, 0, 0], [0, 1.1111982955828144, 0], [0, 0, 1.1111982955828144])",Compression,-23.889404
20,0.8163467,-1.032927686,3.1163614027214814,3.1332442493637513,"([0.8163467, 0, 0], [0, 1.106783508216623, 0], [0, 0, 1.106783508216623])",Compression,-22.404152
21,0.8228206,-0.9281007591,3.107697240430795,3.1226724633436955,"([0.8228206, 0, 0], [0, 1.1024208589840894, 0], [0, 0, 1.1024208589840894])",Compression,-21.005493
22,0.8289537,-0.8397928721,3.0998442211626025,3.1131635768039114,"([0.8289537, 0, 0], [0, 1.0983351001445125, 0], [0, 0, 1.0983351001445125])",Compression,-19.753834
23,0.8354276,-0.7574390559,3.0919229066968725,3.1036446073975483,"([0.8354276, 0, 0], [0, 1.0940712115431774, 0], [0, 0, 1.0940712115431774])",Compression,-18.503872
24,0.8415607,-0.6878031911,3.0847612438870344,3.0951032285849998,"([0.8415607, 0, 0], [0, 1.0900772523318116, 0], [0, 0, 1.0900772523318116])",Compression,-17.381977
25,0.8480346,-0.6195151455,3.07755702189606,3.0865751646734343,"([0.8480346, 0, 0], [0, 1.0859084535767507, 0], [0, 0, 1.0859084535767507])",Compression,-16.258417
26,0.8541677,-0.5588711772,3.07106304176122,3.0789448143093505,"([0.8541677, 0, 0], [0, 1.0820029071213095, 0], [0, 0, 1.0820029071213095])",Compression,-15.247158
27,0.8606416,-0.507006823,3.064551660531585,3.0713502295748105,"([0.8606416, 0, 0], [0, 1.0779257156411626, 0], [0, 0, 1.0779257156411626])",Compression,-14.23159
28,0.8671154,-0.45771027880000004,3.0583871908759432,3.0642141412938946,"([0.8671154, 0, 0], [0, 1.0738943323155177, 0], [0, 0, 1.0738943323155177])",Compression,-13.265369
29,0.8732486,-0.4156739467,3.0528616646884945,3.0578640589257025,"([0.8732486, 0, 0], [0, 1.0701164766712394, 0], [0, 0, 1.0701164766712394])",Compression,-12.392134
